dataset,DTE_C_5,DTE_C_10,DTE_C_20,DTE_C_40,DTE_C_50,DTE_C_avr
agnews,22.14(0.86),20.77(1.57),19.76(2.41),0.00(0.00),0.00(0.00),12.53(0.63)
20news,19.22(2.15),16.99(0.93),15.62(1.07),0.18(0.35),0.18(0.35),10.44(0.45)
SVHN,19.80(0.22),19.61(0.10),19.47(0.17),0.00(0.00),0.00(0.00),11.78(0.08)
FashionMNIST,59.78(0.30),59.24(0.30),58.65(0.27),0.00(0.00),0.00(0.00),35.54(0.10)
MNIST-C,50.07(0.51),48.78(0.62),47.93(0.48),0.00(0.00),0.00(0.00),29.35(0.11)
CIFAR10,24.23(0.19),23.86(0.44),23.92(0.30),0.00(0.00),0.00(0.00),14.40(0.12)
MVTec-AD,76.79(0.49),78.35(0.88),78.60(1.12),63.03(1.80),63.09(1.51),71.97(0.92)
wilt,19.53(2.50),19.92(4.34),5.37(2.97),16.96(5.74),0.00(0.00),12.36(2.38)
mnist,63.86(1.77),56.74(2.71),53.74(3.75),0.00(0.00),0.00(0.00),34.87(1.48)
hepatitis,96.40(3.01),94.63(4.90),92.51(3.12),51.68(9.78),18.97(10.60),70.84(3.40)
yelp,16.12(2.67),14.76(3.88),14.68(3.19),0.00(0.00),0.00(0.00),9.11(1.45)
spambase,80.19(0.18),80.27(0.41),80.56(0.29),87.61(0.00),87.61(0.00),83.25(0.07)
smtp,69.59(3.95),69.59(3.95),49.07(5.05),27.32(14.61),0.00(0.00),43.11(3.67)
speech,3.93(0.80),2.95(1.61),3.28(1.80),0.00(0.00),0.00(0.00),2.03(0.25)
pima,66.14(2.35),63.89(4.28),64.71(3.39),67.99(2.34),65.96(4.44),65.74(2.10)
internetads,67.99(1.98),65.87(0.95),64.95(2.24),41.85(0.00),41.85(0.00),56.50(0.87)
stamps,63.62(10.79),58.37(9.83),57.63(9.24),56.93(11.83),14.60(29.20),50.23(10.89)
cardiotocography,39.91(1.05),39.48(1.54),37.73(1.73),62.02(0.00),62.02(0.00),48.23(0.39)
imdb,6.64(0.89),8.40(1.23),7.32(1.04),0.00(0.00),0.00(0.00),4.47(0.43)
aloi,4.75(0.27),4.27(0.19),4.28(0.10),4.51(0.17),0.00(0.00),3.56(0.03)
wpbc,58.05(5.72),59.07(3.42),56.98(5.14),36.48(3.67),58.96(14.97),53.91(5.76)
yeast,49.23(1.21),49.55(1.27),50.81(1.76),46.82(1.91),98.22(0.00),58.93(0.44)
fraud,75.61(7.76),54.25(5.90),22.55(24.73),0.00(0.00),0.00(0.00),30.48(4.66)
musk,100.00(0.00),100.00(0.00),100.00(0.00),0.00(0.00),0.00(0.00),60.00(0.00)
fault,55.57(1.57),55.16(0.81),55.33(1.66),97.03(0.00),96.91(0.24),72.00(0.47)
amazon,11.48(0.97),11.96(1.68),11.60(2.07),0.00(0.00),0.00(0.00),7.01(0.72)
campaign,51.98(0.70),52.45(1.07),52.33(1.00),0.00(0.00),0.00(0.00),31.35(0.44)
breastw,88.50(1.59),90.10(1.35),92.46(1.78),95.31(0.70),96.11(0.44),92.50(0.79)
glass,35.43(5.07),34.48(4.93),31.36(0.69),19.45(5.66),0.00(0.00),24.15(2.73)
thyroid,73.76(2.21),76.13(1.72),75.27(0.00),78.28(0.80),0.00(0.00),60.69(0.57)
http,38.08(11.97),50.80(38.02),18.33(10.68),16.75(12.06),0.00(0.00),24.79(12.88)
optdigits,14.80(1.81),6.40(3.88),9.33(5.72),0.00(0.00),0.00(0.00),6.11(1.52)
skin,82.15(0.39),82.23(0.37),81.66(0.57),80.48(0.35),54.74(0.80),76.25(0.32)
backdoor,46.19(8.39),83.03(2.14),84.50(0.60),0.00(0.00),0.00(0.00),42.75(1.54)
letter,2.40(1.50),3.00(1.55),3.20(1.17),0.00(0.00),0.00(0.00),1.72(0.37)
vertebral,43.88(5.22),36.26(11.73),32.59(10.94),24.68(8.71),3.48(6.96),28.18(7.79)
satimage-2,78.31(3.03),60.85(5.87),46.20(5.07),26.20(32.11),0.00(0.00),42.31(7.14)
wdbc,78.62(5.69),70.31(4.12),77.59(7.50),10.43(20.87),0.00(0.00),47.39(3.91)
celeba,19.18(2.74),17.12(1.45),14.31(2.28),0.00(0.00),0.00(0.00),10.12(1.04)
landsat,35.45(0.79),35.47(3.76),31.67(3.98),50.29(8.34),54.46(0.00),41.47(2.39)
vowels,40.00(5.51),40.80(3.25),45.20(0.98),0.00(0.00),0.00(0.00),25.20(1.36)
shuttle,98.00(0.01),97.98(0.00),97.73(0.10),92.83(2.84),0.00(0.00),77.31(0.58)
wine,98.86(1.44),95.05(5.74),97.27(3.64),41.73(22.73),0.00(0.00),66.58(4.38)
annthyroid,77.23(0.25),77.94(0.28),77.53(0.85),75.43(0.93),0.00(0.00),61.63(0.20)
census,17.58(1.42),17.54(1.79),16.44(1.41),0.00(0.00),0.00(0.00),10.31(0.52)
waveform,11.20(1.72),11.80(2.14),12.20(1.60),0.00(0.00),0.00(0.00),7.04(0.23)
cardio,58.30(0.58),57.84(0.43),58.07(0.23),0.34(0.68),0.00(0.00),34.91(0.09)
wbc,40.59(7.11),34.81(6.65),40.96(12.93),67.85(5.79),0.00(0.00),36.84(4.92)
ionosphere,89.67(1.44),89.41(1.53),89.52(1.13),78.12(2.07),49.44(16.82),79.23(4.14)
cover,76.51(2.37),68.92(4.22),46.54(3.93),0.00(0.00),0.00(0.00),38.39(0.62)
pageblocks,62.24(0.98),62.71(1.24),61.25(0.32),60.47(0.69),0.00(0.00),49.33(0.37)
pendigits,63.97(6.36),54.36(7.40),43.46(7.50),0.00(0.00),0.00(0.00),32.36(1.43)
satellite,72.06(0.60),72.97(0.77),72.63(0.32),91.51(9.02),96.02(0.00),81.04(1.96)
magic.gamma,79.82(0.48),80.94(0.33),80.19(0.73),89.73(7.81),96.10(0.00),85.36(1.69)
donors,87.99(1.87),75.05(7.18),63.08(1.70),11.80(23.60),0.00(0.00),47.58(4.61)
lymphography,77.11(6.79),79.84(1.53),74.75(5.79),60.02(26.09),0.00(0.00),58.34(6.75)
mammography,32.69(5.73),34.62(2.19),35.08(2.68),39.69(2.19),0.00(0.00),28.42(1.40)
