dataset,DTE_C_5,DTE_C_10,DTE_C_20,DTE_C_40,DTE_C_50,DTE_C_avr
agnews,18.40(0.64),16.51(0.99),16.18(1.53),9.52(0.00),9.52(0.00),14.03(0.43)
20news,17.28(1.40),15.75(0.40),14.55(0.94),9.44(0.39),9.44(0.39),13.29(0.47)
SVHN,15.61(0.19),15.62(0.19),15.55(0.11),9.52(0.00),9.52(0.00),13.16(0.04)
FashionMNIST,54.92(0.36),56.00(0.23),56.31(0.95),9.50(0.00),9.50(0.00),37.25(0.17)
MNIST-C,46.68(0.62),47.39(0.52),46.12(0.32),9.52(0.00),9.52(0.00),31.85(0.20)
CIFAR10,19.95(0.09),19.61(0.15),19.79(0.18),9.52(0.00),9.52(0.00),15.68(0.07)
MVTec-AD,83.04(1.01),84.66(1.01),84.41(1.22),38.89(1.52),38.21(0.62),65.84(0.58)
wilt,25.16(0.41),27.94(1.32),21.04(1.52),25.25(1.80),10.13(0.00),21.90(0.77)
mnist,60.64(1.13),56.20(2.31),55.17(3.05),16.86(0.00),16.86(0.00),41.15(1.11)
hepatitis,98.64(1.76),95.49(4.81),96.17(4.38),54.16(11.62),27.45(1.71),74.38(1.79)
yelp,14.09(1.54),12.96(1.75),13.22(1.41),9.52(0.00),9.52(0.00),11.86(0.62)
spambase,83.44(0.47),83.59(0.51),84.12(0.39),57.05(0.00),57.05(0.00),73.05(0.13)
smtp,50.08(5.85),52.14(8.82),41.15(7.61),15.36(9.94),0.07(0.01),31.76(4.31)
speech,2.78(0.12),3.32(0.58),2.85(0.16),3.26(0.00),3.26(0.00),3.09(0.15)
pima,67.82(2.03),65.53(3.71),66.04(3.31),70.01(2.92),68.66(8.30),67.61(2.81)
internetads,60.45(4.51),56.24(2.74),57.78(6.93),31.53(0.00),31.53(0.00),47.51(1.92)
stamps,61.33(7.30),57.64(7.65),53.34(6.09),56.82(10.61),24.85(19.23),50.80(7.62)
cardiotocography,53.83(0.94),53.56(0.73),49.12(4.17),36.12(0.00),36.12(0.00),45.75(0.91)
imdb,8.71(0.63),9.49(0.47),8.79(0.30),9.52(0.00),9.52(0.00),9.21(0.20)
aloi,5.76(0.03),5.82(0.02),5.72(0.05),5.73(0.05),5.91(0.00),5.79(0.01)
wpbc,60.51(5.10),61.17(3.87),59.53(3.80),40.41(3.04),38.36(1.82),52.00(2.61)
yeast,49.65(0.87),50.38(1.14),49.94(1.24),47.04(1.19),50.90(0.00),49.58(0.27)
fraud,68.85(10.35),57.17(4.68),24.97(21.19),0.34(0.03),0.34(0.03),30.33(4.25)
musk,100.00(0.00),100.00(0.00),100.00(0.00),6.14(0.00),6.14(0.00),62.46(0.00)
fault,63.92(1.40),62.97(0.60),63.62(1.06),51.69(0.25),51.74(0.32),58.79(0.41)
amazon,11.01(0.43),10.99(1.11),11.05(0.93),9.52(0.00),9.52(0.00),10.42(0.40)
campaign,49.90(2.01),46.77(1.41),48.40(1.60),20.25(0.00),20.25(0.00),37.11(0.64)
breastw,88.69(2.54),89.49(2.00),94.04(1.49),98.56(0.68),99.22(0.11),94.00(0.69)
glass,46.09(6.97),36.80(5.13),27.63(1.55),20.53(3.60),7.83(1.03),27.78(2.62)
thyroid,80.34(1.28),81.93(2.54),82.86(1.27),83.14(1.08),4.81(0.00),66.61(0.60)
http,56.93(7.39),69.18(22.25),50.00(7.08),48.53(7.22),0.74(0.04),45.08(7.07)
optdigits,18.29(1.20),11.55(3.63),12.82(3.07),5.59(0.00),5.59(0.00),10.77(1.02)
skin,68.88(0.57),70.08(0.63),69.80(0.53),69.53(0.66),34.42(0.19),62.54(0.43)
backdoor,43.90(3.90),61.21(2.58),63.64(1.61),4.83(0.09),4.83(0.09),35.68(0.79)
letter,8.92(0.10),9.01(0.23),8.96(0.09),11.76(0.00),11.76(0.00),10.09(0.04)
vertebral,34.31(5.07),31.45(6.44),28.95(5.65),25.00(4.75),21.17(4.01),28.18(4.88)
satimage-2,83.45(5.57),62.80(5.31),46.25(6.02),24.56(27.32),2.42(0.00),43.90(6.54)
wdbc,76.31(10.20),73.63(7.98),76.35(9.33),15.20(19.59),5.21(0.94),49.34(5.19)
celeba,15.16(1.05),13.87(0.59),12.60(1.22),4.31(0.09),4.31(0.09),10.05(0.49)
landsat,36.22(0.76),36.06(2.33),34.01(2.31),34.27(0.09),34.32(0.00),34.98(0.81)
vowels,39.58(4.05),41.45(3.27),44.91(4.07),6.64(0.00),6.64(0.00),27.84(1.66)
shuttle,94.26(0.06),94.06(0.16),93.19(0.08),88.77(1.78),13.35(0.00),76.73(0.36)
wine,99.47(0.66),98.39(1.77),98.70(1.77),45.36(23.65),14.95(1.08),71.37(4.46)
annthyroid,82.46(0.50),83.25(0.34),83.27(0.63),81.52(1.18),13.81(0.00),68.86(0.20)
census,18.39(0.83),17.28(0.52),17.45(0.64),11.66(0.20),11.66(0.20),15.29(0.31)
waveform,9.88(0.96),9.59(0.83),10.41(0.55),5.65(0.00),5.65(0.00),8.24(0.18)
cardio,69.32(0.43),70.19(0.63),70.25(0.47),17.78(0.59),17.55(0.00),49.02(0.29)
wbc,36.71(3.31),33.53(4.49),40.09(7.65),67.56(7.06),8.72(1.13),37.32(1.43)
ionosphere,96.52(0.77),96.49(1.17),96.68(0.68),86.50(4.57),56.47(15.94),86.53(4.28)
cover,71.28(4.54),61.74(4.63),38.26(3.29),1.94(0.07),1.94(0.07),35.03(0.82)
pageblocks,64.41(1.43),68.08(1.72),63.78(4.40),59.09(4.25),17.28(0.00),54.53(1.01)
pendigits,53.63(4.87),45.92(5.63),40.53(4.47),4.44(0.00),4.44(0.00),29.79(0.96)
satellite,85.28(0.60),85.11(0.52),84.72(0.41),55.55(14.95),48.08(0.00),71.75(2.86)
magic.gamma,89.01(0.45),89.46(0.29),89.15(0.44),66.79(18.08),52.03(0.00),77.29(3.52)
donors,76.07(1.84),66.66(3.73),53.74(2.07),18.86(15.32),11.20(0.14),45.30(2.85)
lymphography,87.03(7.20),93.30(2.48),83.45(12.01),72.50(16.37),7.80(0.50),68.82(5.96)
mammography,35.02(6.35),37.47(2.68),32.22(4.57),35.30(2.06),4.54(0.00),28.91(1.92)
