dataset,DTE_C_5,DTE_C_10,DTE_C_20,DTE_C_40,DTE_C_50,DTE_C_avr
agnews,68.75(0.81),65.60(1.74),65.95(1.66),50.00(0.00),50.00(0.00),60.06(0.42)
20news,64.14(1.95),64.01(0.79),61.86(0.96),50.00(0.28),50.00(0.28),58.00(0.60)
SVHN,63.02(0.30),63.02(0.36),62.97(0.38),50.00(0.00),50.00(0.00),57.80(0.05)
FashionMNIST,90.13(0.19),90.30(0.13),90.27(0.15),50.00(0.00),50.00(0.00),74.14(0.06)
MNIST-C,85.01(0.43),86.12(0.43),85.25(0.30),50.00(0.00),50.00(0.00),71.28(0.16)
CIFAR10,68.78(0.24),68.59(0.36),68.87(0.31),50.00(0.00),50.00(0.00),61.25(0.12)
MVTec-AD,86.78(0.49),89.56(0.58),89.38(0.93),50.75(1.11),50.13(0.45),73.32(0.42)
wilt,84.17(0.27),87.06(0.69),81.09(1.72),84.90(1.24),50.00(0.00),77.44(0.57)
mnist,90.21(0.70),86.98(1.70),85.58(2.12),50.00(0.00),50.00(0.00),72.55(0.64)
hepatitis,99.54(0.58),98.90(1.01),98.90(1.08),74.74(7.86),50.00(0.00),84.42(1.20)
yelp,62.00(1.65),59.36(3.66),60.99(2.26),50.00(0.00),50.00(0.00),56.47(0.84)
spambase,82.98(0.37),83.29(0.49),83.74(0.38),50.00(0.00),50.00(0.00),70.00(0.04)
smtp,95.06(1.20),95.61(1.24),95.84(1.23),95.84(1.22),50.00(0.00),86.47(0.96)
speech,38.02(1.49),38.55(1.07),38.72(1.79),50.00(0.00),50.00(0.00),43.06(0.55)
pima,70.12(1.89),67.22(3.15),66.78(2.78),71.26(2.38),69.39(5.15),68.95(0.96)
internetads,79.02(1.49),77.71(0.82),77.23(2.48),50.00(0.00),50.00(0.00),66.79(0.73)
stamps,93.01(1.38),91.27(2.53),86.48(2.57),90.17(4.76),50.10(26.50),82.21(5.22)
cardiotocography,60.09(2.19),60.36(1.54),59.05(1.34),50.00(0.00),50.00(0.00),55.90(0.23)
imdb,47.68(3.79),50.89(1.90),47.81(2.08),50.00(0.00),50.00(0.00),49.27(1.12)
aloi,50.20(0.21),50.84(0.10),50.16(0.34),50.26(0.33),50.00(0.00),50.29(0.09)
wpbc,68.39(4.15),70.67(1.94),68.60(3.44),51.85(2.56),49.96(5.03),61.89(2.06)
yeast,46.82(1.26),48.44(1.44),49.01(2.16),44.44(2.06),50.00(0.00),47.74(0.50)
fraud,94.49(1.56),93.08(2.20),93.50(2.01),50.00(0.00),50.00(0.00),76.21(1.08)
musk,100.00(0.00),100.00(0.00),100.00(0.00),50.00(0.00),50.00(0.00),80.00(0.00)
fault,59.16(1.69),58.41(1.41),59.04(1.53),50.21(0.25),50.21(0.42),55.41(0.63)
amazon,56.20(1.62),55.07(4.20),56.12(2.73),50.00(0.00),50.00(0.00),53.48(1.33)
campaign,79.18(1.09),78.24(2.09),78.49(1.13),50.00(0.00),50.00(0.00),67.18(0.74)
breastw,93.45(1.34),94.34(1.25),96.71(0.91),98.85(0.45),99.26(0.07),96.52(0.53)
glass,93.46(0.91),89.96(2.70),84.89(2.89),66.42(8.60),50.00(0.00),76.95(2.58)
thyroid,98.75(0.07),98.92(0.02),98.92(0.04),98.94(0.05),50.00(0.00),89.11(0.02)
http,99.54(0.08),99.64(0.28),99.39(0.06),99.39(0.07),50.00(0.00),89.59(0.09)
optdigits,86.29(1.29),74.81(6.84),77.57(4.38),50.00(0.00),50.00(0.00),67.73(1.71)
skin,91.69(0.28),92.12(0.27),91.95(0.22),91.63(0.28),50.00(0.00),83.48(0.19)
backdoor,88.65(1.08),92.06(1.04),92.64(0.84),50.00(0.00),50.00(0.00),74.67(0.36)
letter,36.75(1.19),37.72(1.31),37.40(0.89),50.00(0.00),50.00(0.00),42.38(0.25)
vertebral,67.07(2.73),65.09(3.50),62.93(4.76),56.35(4.78),48.40(5.99),59.97(2.61)
satimage-2,99.61(0.13),99.17(0.15),98.38(0.56),69.34(23.69),50.00(0.00),83.30(4.71)
wdbc,98.96(0.46),98.76(0.26),99.01(0.41),50.22(16.16),45.17(9.66),78.42(3.73)
celeba,82.95(1.26),81.59(0.79),80.16(1.26),50.00(0.00),50.00(0.00),68.94(0.44)
landsat,51.80(0.94),50.31(2.61),48.67(2.62),50.22(0.45),50.00(0.00),50.20(0.98)
vowels,87.25(1.51),86.66(0.72),87.49(0.93),50.00(0.00),50.00(0.00),72.28(0.42)
shuttle,99.76(0.00),99.74(0.01),99.70(0.01),99.28(0.22),50.00(0.00),89.70(0.05)
wine,99.91(0.11),99.70(0.33),99.81(0.29),66.04(29.91),49.98(0.04),83.09(5.95)
annthyroid,97.47(0.10),97.65(0.11),97.73(0.15),97.40(0.22),50.00(0.00),88.05(0.05)
census,70.95(0.91),68.04(0.85),68.05(2.58),50.00(0.00),50.00(0.00),61.41(0.71)
waveform,65.16(1.34),63.97(2.75),66.24(1.45),50.00(0.00),50.00(0.00),59.07(0.68)
cardio,88.07(0.51),87.54(0.69),87.66(0.63),50.00(0.54),50.00(0.00),72.66(0.21)
wbc,86.07(4.41),85.96(4.40),86.45(7.40),97.03(1.02),50.00(0.00),81.10(1.77)
ionosphere,94.67(1.52),94.49(2.41),95.23(1.37),85.77(2.62),44.90(23.57),83.01(5.81)
cover,97.57(0.86),97.81(0.75),96.61(0.63),50.00(0.00),50.00(0.00),78.40(0.14)
pageblocks,89.96(0.39),90.29(0.81),89.23(0.26),88.80(0.13),50.00(0.00),81.66(0.20)
pendigits,98.24(0.47),97.42(0.83),96.89(0.68),50.00(0.00),50.00(0.00),78.51(0.15)
satellite,80.21(1.18),79.01(0.76),78.54(0.62),56.11(12.22),50.00(0.00),68.77(2.26)
magic.gamma,86.42(0.59),87.42(0.35),87.21(0.73),64.88(18.23),50.00(0.00),75.19(3.50)
donors,98.68(0.15),97.56(0.53),95.64(0.27),58.94(17.89),50.00(0.00),80.17(3.55)
lymphography,98.97(0.31),99.40(0.22),98.78(0.66),93.82(8.49),50.00(0.00),88.19(1.78)
mammography,83.00(3.62),86.02(1.23),84.85(2.49),85.40(1.03),50.00(0.00),77.85(0.91)
