dataset,DTE_C_5,DTE_C_10,DTE_C_20,DTE_C_40,DTE_C_50,DTE_C_avr
agnews,0.00003,0.00004,0.00004,0.00004,0.00004,0.00004
20news,0.00003,0.00006,0.00010,0.00011,0.00013,0.00009
SVHN,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
FashionMNIST,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
MNIST-C,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
CIFAR10,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
MVTec-AD,0.00001,0.00002,0.00002,0.00002,0.00002,0.00002
wilt,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
mnist,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
hepatitis,0.00001,0.00001,0.00001,0.00002,0.00002,0.00001
yelp,0.00001,0.00002,0.00002,0.00002,0.00002,0.00002
spambase,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
smtp,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
speech,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
pima,0.00002,0.00002,0.00002,0.00001,0.00002,0.00002
internetads,0.00003,0.00002,0.00003,0.00003,0.00003,0.00003
stamps,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001
cardiotocography,0.00002,0.00002,0.00002,0.00002,0.00001,0.00002
imdb,0.00004,0.00003,0.00003,0.00003,0.00003,0.00003
aloi,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
wpbc,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
yeast,0.00001,0.00002,0.00002,0.00002,0.00001,0.00001
fraud,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001
musk,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
fault,0.00002,0.00002,0.00002,0.00003,0.00003,0.00002
amazon,0.00002,0.00001,0.00001,0.00002,0.00003,0.00002
campaign,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
breastw,0.00002,0.00001,0.00002,0.00002,0.00002,0.00002
glass,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
thyroid,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
http,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001
optdigits,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
skin,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
backdoor,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
letter,0.00001,0.00002,0.00002,0.00002,0.00002,0.00002
vertebral,0.00002,0.00002,0.00002,0.00001,0.00002,0.00002
satimage-2,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
wdbc,0.00001,0.00002,0.00002,0.00001,0.00002,0.00002
celeba,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
landsat,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
vowels,0.00002,0.00001,0.00001,0.00001,0.00002,0.00001
shuttle,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001
wine,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001
annthyroid,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
census,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
waveform,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
cardio,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001
wbc,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
ionosphere,0.00001,0.00001,0.00002,0.00001,0.00001,0.00001
cover,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
pageblocks,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
pendigits,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
satellite,0.00002,0.00002,0.00002,0.00002,0.00001,0.00002
magic.gamma,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001
donors,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
lymphography,0.00002,0.00001,0.00002,0.00002,0.00001,0.00002
mammography,0.00001,0.00002,0.00001,0.00001,0.00001,0.00001
