dataset,DTE_C_5,DTE_C_10,DTE_C_20,DTE_C_40,DTE_C_50,DTE_C_avr
agnews,203.12370,199.46778,211.44281,199.78289,208.20025,204.40349
20news,43.10380,43.71793,42.00461,43.49597,45.22410,43.50928
SVHN,117.22763,119.09603,120.58305,120.37644,119.39503,119.33564
FashionMNIST,102.61860,101.50736,101.43319,102.44887,102.61565,102.12473
MNIST-C,161.96043,163.02576,162.82478,163.74645,163.59397,163.03028
CIFAR10,87.57178,86.80169,86.79849,87.90998,87.79234,87.37486
MVTec-AD,13.71106,14.13426,14.05032,13.74295,13.73359,13.87443
wilt,83.90103,81.90086,81.20448,80.17530,74.83675,80.40368
mnist,120.90872,117.40032,127.91058,115.35496,116.06634,119.52818
hepatitis,14.10343,14.04346,14.55591,14.93784,15.52133,14.63240
yelp,176.90115,185.47192,174.28311,182.66796,181.60907,180.18664
spambase,42.14616,38.75917,42.46020,43.05621,42.58273,41.80089
smtp,880.69057,877.39682,887.53326,825.25531,875.27469,869.23013
speech,62.63848,60.78126,62.04617,61.39255,62.16024,61.80374
pima,11.99470,11.93093,11.77710,11.52326,12.05965,11.85713
internetads,27.85704,28.03369,27.48732,26.22620,28.18716,27.55828
stamps,15.42174,14.96326,15.33859,14.52025,15.19607,15.08798
cardiotocography,28.68468,30.81870,32.04799,31.42171,30.85988,30.76659
imdb,196.07256,183.27627,180.68293,177.59977,188.26887,185.18008
aloi,849.02421,816.30947,768.32157,916.59077,829.28028,835.90526
wpbc,14.38160,14.74365,14.13290,13.63379,13.60125,14.09864
yeast,17.36939,17.64920,17.65477,17.08906,17.35454,17.42339
fraud,931.14026,839.24942,768.30160,859.71210,851.23749,849.92817
musk,50.52191,51.83979,53.64807,53.77784,56.30398,53.21832
fault,20.53230,20.81708,22.63236,22.57712,22.76065,21.86390
amazon,177.90517,170.99366,173.16321,178.26453,171.04764,174.27484
campaign,627.59259,616.08230,619.49390,580.07372,636.51588,615.95168
breastw,12.08757,12.69671,12.64173,12.15233,11.45655,12.20698
glass,16.48946,17.20639,16.78083,16.91183,17.25010,16.92772
thyroid,61.92562,61.90607,61.48567,61.47286,61.04592,61.56723
http,918.41311,954.60476,940.03105,886.14675,891.75797,918.19073
optdigits,81.03782,93.45069,93.12763,92.08749,92.16463,90.37365
skin,708.07523,681.70827,699.52975,754.29394,717.80804,712.28305
backdoor,830.72201,882.73909,827.35857,854.52244,842.42574,847.55357
letter,24.17507,26.23853,27.26134,26.70719,27.07546,26.29152
vertebral,15.10517,15.90993,15.15133,14.79087,14.63846,15.11915
satimage-2,103.70928,109.25284,104.40992,96.76001,91.17754,101.06192
wdbc,17.27195,17.43042,16.92956,17.43040,17.34574,17.28161
celeba,908.09989,844.14277,845.79087,814.28753,814.23273,845.31076
landsat,88.47259,88.45017,91.17468,87.25415,89.12827,88.89597
vowels,23.82653,23.55493,23.98906,23.64768,23.84917,23.77347
shuttle,749.54867,813.16671,833.21223,882.97316,789.98691,813.77754
wine,16.80982,17.29478,17.31184,17.20033,16.74137,17.07163
annthyroid,116.26328,115.42734,110.40008,108.87709,109.87612,112.16878
census,786.74852,828.63106,767.70008,782.84815,736.17920,780.42140
waveform,56.61031,57.70745,62.58164,62.57027,62.22282,60.33850
cardio,27.54294,27.91815,27.38435,27.52874,26.95978,27.46679
wbc,16.80138,17.21608,17.24301,17.50624,17.78973,17.31129
ionosphere,11.42844,11.78304,12.06550,11.07267,10.88696,11.44732
cover,852.84410,852.72212,799.65689,855.52070,818.75455,835.89967
pageblocks,83.66983,75.82128,75.69073,77.90938,82.61329,79.14090
pendigits,122.97302,123.12202,121.59413,122.99529,121.47579,122.43205
satellite,76.06361,76.31467,77.78883,79.58061,75.15549,76.98064
magic.gamma,215.17569,210.14461,204.86234,221.22147,221.98710,214.67824
donors,864.54696,797.45421,836.12896,834.03110,856.58679,837.74960
lymphography,15.78954,16.76329,16.49826,16.27675,16.52920,16.37141
mammography,184.82897,181.61214,188.92793,180.48613,172.59983,181.69100
