dataset,DTE_NP_5,DTE_NP_10,DTE_NP_20,DTE_NP_40,DTE_NP_50,DTE_NP_avr
agnews,17.03(0.00),16.50(0.00),15.92(0.00),15.29(0.00),15.07(0.00),15.96(0.00)
20news,15.45(1.12),14.32(1.09),13.25(0.77),12.71(0.65),12.59(0.66),13.66(0.85)
SVHN,15.44(0.00),15.30(0.00),15.18(0.00),15.08(0.00),15.05(0.00),15.21(0.00)
FashionMNIST,59.52(0.00),59.05(0.00),58.57(0.00),58.09(0.00),57.96(0.00),58.64(0.00)
MNIST-C,47.21(0.00),46.26(0.00),45.35(0.00),44.50(0.00),44.24(0.00),45.51(0.00)
CIFAR10,19.77(0.00),19.59(0.00),19.43(0.00),19.31(0.00),19.28(0.00),19.48(0.00)
MVTec-AD,82.66(1.11),79.02(0.97),76.24(0.90),74.41(0.89),73.96(0.86),77.26(0.94)
wilt,13.43(0.00),12.36(0.00),11.30(0.00),10.40(0.00),10.12(0.00),11.52(0.00)
mnist,74.43(0.00),73.09(0.00),71.84(0.00),70.69(0.00),70.36(0.00),72.08(0.00)
hepatitis,99.47(0.73),97.98(1.43),91.71(2.26),81.65(3.68),78.95(3.45),89.95(1.80)
yelp,16.05(0.00),15.78(0.00),15.40(0.00),15.01(0.00),14.89(0.00),15.43(0.00)
spambase,83.93(0.00),83.42(0.00),83.03(0.00),82.73(0.00),82.63(0.00),83.15(0.00)
smtp,56.70(7.16),54.77(7.80),54.75(7.81),54.76(7.81),48.74(10.23),53.94(7.83)
speech,3.02(0.00),2.89(0.00),2.70(0.00),2.76(0.00),2.70(0.00),2.82(0.00)
pima,80.27(1.65),78.05(2.13),75.87(2.40),74.73(2.71),74.49(2.71),76.68(2.22)
internetads,52.20(0.00),49.76(0.00),48.19(0.00),47.56(0.00),47.45(0.00),49.03(0.00)
stamps,82.50(3.71),77.11(4.30),69.99(5.29),65.85(6.16),64.64(6.16),72.02(4.82)
cardiotocography,56.55(0.00),57.18(0.00),58.19(0.00),59.42(0.00),59.95(0.00),58.26(0.00)
imdb,9.11(0.00),9.09(0.00),9.06(0.00),9.07(0.00),9.06(0.00),9.08(0.00)
aloi,5.95(0.00),5.99(0.00),6.02(0.00),6.06(0.00),6.07(0.00),6.02(0.00)
wpbc,75.30(1.88),61.19(1.49),51.53(2.17),46.62(2.23),45.63(2.17),56.05(1.44)
yeast,48.37(0.00),47.91(0.00),47.52(0.00),47.26(0.00),47.20(0.00),47.65(0.00)
fraud,40.60(6.67),43.77(5.38),43.03(4.92),39.91(4.75),38.80(4.94),41.22(5.02)
musk,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00)
fault,62.03(0.00),61.58(0.00),61.29(0.00),61.98(0.00),62.31(0.00),61.84(0.00)
amazon,11.68(0.00),11.68(0.00),11.68(0.00),11.61(0.00),11.62(0.00),11.65(0.00)
campaign,48.48(0.00),49.05(0.00),49.77(0.00),49.77(0.00),49.51(0.00),49.31(0.00)
breastw,98.51(0.56),98.19(0.58),97.56(0.51),97.13(0.62),97.05(0.45),97.69(0.40)
glass,60.15(6.89),47.75(5.62),37.27(4.92),31.23(3.12),30.48(2.85),41.38(4.46)
thyroid,77.22(0.00),77.53(0.00),77.26(0.00),76.43(0.00),74.75(0.00),76.64(0.00)
http,98.52(0.37),95.38(2.26),88.66(1.01),84.43(2.65),80.40(4.55),89.48(1.90)
optdigits,34.44(0.00),30.53(0.00),26.28(0.00),22.67(0.00),21.61(0.00),27.11(0.00)
skin,98.92(0.23),98.31(0.20),96.81(0.31),94.52(0.43),93.30(0.50),96.37(0.25)
backdoor,55.90(0.99),47.16(1.45),38.31(1.02),31.44(0.47),29.58(0.37),40.48(0.81)
letter,8.86(0.00),8.78(0.00),8.67(0.00),8.54(0.00),8.50(0.00),8.67(0.00)
vertebral,43.77(5.50),31.72(3.49),24.99(2.97),21.10(2.37),20.29(2.40),28.38(3.31)
satimage-2,96.10(0.00),96.64(0.00),97.02(0.00),97.39(0.00),97.42(0.00),96.92(0.00)
wdbc,92.08(6.52),89.03(6.77),86.03(5.81),83.79(5.59),83.41(5.19),86.87(5.84)
celeba,10.56(0.44),11.63(0.49),12.74(0.52),13.92(0.58),14.30(0.59),12.63(0.51)
landsat,56.14(0.00),54.25(0.00),50.75(0.00),46.43(0.00),45.17(0.00),50.55(0.00)
vowels,31.68(0.00),30.30(0.00),29.54(0.00),27.85(0.00),27.32(0.00),29.34(0.00)
shuttle,99.16(0.00),98.76(0.00),98.72(0.00),98.78(0.00),98.77(0.00),98.84(0.00)
wine,99.42(0.77),98.32(0.52),96.09(1.31),93.12(1.51),91.59(2.00),95.71(0.92)
annthyroid,67.49(0.00),66.73(0.00),66.04(0.00),65.39(0.00),64.87(0.00),66.11(0.00)
census,21.14(0.39),21.38(0.54),21.16(0.43),20.67(0.41),20.52(0.42),20.97(0.43)
waveform,26.96(0.00),26.71(0.00),25.68(0.00),24.67(0.00),24.49(0.00),25.70(0.00)
cardio,76.90(0.00),77.73(0.00),78.30(0.00),79.19(0.00),79.53(0.00),78.33(0.00)
wbc,96.59(2.18),93.20(4.25),90.32(6.04),90.14(5.60),88.96(6.03),91.84(4.57)
ionosphere,98.72(0.48),98.46(0.54),98.27(0.42),97.44(0.50),96.93(0.61),97.96(0.46)
cover,63.67(3.21),57.85(3.52),51.55(3.10),44.58(2.49),42.11(2.29),51.95(2.90)
pageblocks,62.78(0.00),62.52(0.00),62.20(0.00),61.02(0.00),60.30(0.00),61.76(0.00)
pendigits,97.68(0.00),97.31(0.00),96.28(0.00),90.01(0.00),86.69(0.00),93.59(0.00)
satellite,85.98(0.00),85.74(0.00),85.17(0.00),84.15(0.00),83.72(0.00),84.95(0.00)
magic.gamma,86.30(0.00),85.86(0.00),85.28(0.00),84.56(0.00),84.29(0.00),85.26(0.00)
donors,93.23(0.80),91.25(0.72),88.17(0.95),83.92(1.29),82.34(1.32),87.78(0.99)
lymphography,97.27(5.45),96.07(6.79),96.07(6.79),95.68(6.60),95.68(6.60),96.16(6.43)
mammography,42.14(0.00),41.51(0.00),40.67(0.00),40.37(0.00),40.50(0.00),41.04(0.00)
