dataset,DTE_NP_5,DTE_NP_10,DTE_NP_20,DTE_NP_40,DTE_NP_50,DTE_NP_avr
agnews,67.87(0.00),67.26(0.00),66.42(0.00),65.52(0.00),65.21(0.00),66.46(0.00)
20news,60.08(0.67),58.74(0.78),57.43(0.82),56.90(0.88),56.97(0.87),58.02(0.80)
SVHN,62.12(0.00),61.80(0.00),61.48(0.00),61.19(0.00),61.11(0.00),61.54(0.00)
FashionMNIST,90.13(0.00),89.91(0.00),89.65(0.00),89.37(0.00),89.27(0.00),89.67(0.00)
MNIST-C,84.73(0.00),84.21(0.00),83.58(0.00),82.87(0.00),82.64(0.00),83.60(0.00)
CIFAR10,67.81(0.00),67.63(0.00),67.47(0.00),67.32(0.00),67.26(0.00),67.50(0.00)
MVTec-AD,89.65(0.57),85.94(0.49),82.74(0.49),80.49(0.49),79.94(0.46),83.75(0.49)
wilt,66.98(0.00),63.87(0.00),60.18(0.00),56.26(0.00),55.02(0.00),60.46(0.00)
mnist,94.22(0.00),93.93(0.00),93.57(0.00),93.20(0.00),93.08(0.00),93.60(0.00)
hepatitis,99.84(0.20),99.27(0.51),96.89(0.96),93.15(1.69),91.97(1.76),96.22(0.88)
yelp,68.67(0.00),68.22(0.00),67.75(0.00),67.22(0.00),66.98(0.00),67.77(0.00)
spambase,84.06(0.00),83.49(0.00),82.97(0.00),82.50(0.00),82.36(0.00),83.07(0.00)
smtp,92.94(2.55),92.84(2.56),93.14(2.20),93.14(2.15),93.14(2.20),93.04(2.32)
speech,41.12(0.00),39.00(0.00),37.59(0.00),37.37(0.00),37.01(0.00),38.42(0.00)
pima,82.21(1.82),79.74(1.61),77.98(1.38),77.28(1.35),77.14(1.33),78.87(1.43)
internetads,70.96(0.00),68.65(0.00),66.86(0.00),65.97(0.00),65.82(0.00),67.65(0.00)
stamps,97.88(0.33),97.04(0.33),95.60(0.78),94.59(1.07),94.29(1.08),95.88(0.66)
cardiotocography,60.40(0.00),61.63(0.00),63.14(0.00),65.05(0.00),65.81(0.00),63.21(0.00)
imdb,50.48(0.00),50.38(0.00),50.32(0.00),50.28(0.00),50.27(0.00),50.35(0.00)
aloi,50.69(0.00),51.02(0.00),51.26(0.00),51.58(0.00),51.69(0.00),51.25(0.00)
wpbc,89.29(1.07),79.39(1.04),69.61(1.14),63.21(1.50),61.86(1.64),72.67(0.81)
yeast,44.73(0.00),44.61(0.00),44.33(0.00),43.88(0.00),43.68(0.00),44.25(0.00)
fraud,95.70(0.90),95.67(0.93),95.64(0.93),95.60(0.92),95.60(0.92),95.64(0.92)
musk,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00)
fault,58.34(0.00),58.37(0.00),58.70(0.00),60.00(0.00),60.43(0.00),59.17(0.00)
amazon,60.76(0.00),60.69(0.00),60.53(0.00),60.17(0.00),60.22(0.00),60.47(0.00)
campaign,78.34(0.00),78.71(0.00),78.91(0.00),78.93(0.00),78.90(0.00),78.76(0.00)
breastw,99.10(0.28),98.91(0.35),98.59(0.34),98.40(0.35),98.36(0.28),98.67(0.28)
glass,96.08(0.39),93.04(1.06),89.82(1.12),87.89(1.10),87.31(1.40),90.83(0.91)
thyroid,98.58(0.00),98.63(0.00),98.64(0.00),98.63(0.00),98.59(0.00),98.61(0.00)
http,99.99(0.00),99.98(0.01),99.95(0.00),99.93(0.01),99.91(0.02),99.95(0.01)
optdigits,95.00(0.00),93.97(0.00),92.52(0.00),90.87(0.00),90.28(0.00),92.53(0.00)
skin,99.66(0.05),99.52(0.04),99.28(0.02),98.77(0.09),98.54(0.09),99.15(0.05)
backdoor,94.48(0.42),93.72(0.46),92.67(0.46),91.20(0.45),90.68(0.45),92.55(0.44)
letter,36.12(0.00),35.66(0.00),34.78(0.00),33.72(0.00),33.40(0.00),34.74(0.00)
vertebral,79.59(2.23),67.05(2.09),56.99(2.07),49.07(1.60),47.08(1.43),59.96(1.83)
satimage-2,99.68(0.00),99.73(0.00),99.79(0.00),99.82(0.00),99.82(0.00),99.77(0.00)
wdbc,99.62(0.26),99.47(0.29),99.26(0.25),99.18(0.22),99.15(0.20),99.34(0.23)
celeba,70.39(0.33),72.58(0.26),74.81(0.34),76.87(0.38),77.47(0.37),74.42(0.28)
landsat,68.99(0.00),68.02(0.00),66.46(0.00),64.73(0.00),64.16(0.00),66.47(0.00)
vowels,82.11(0.00),81.62(0.00),80.46(0.00),78.11(0.00),76.87(0.00),79.83(0.00)
shuttle,99.94(0.00),99.92(0.00),99.91(0.00),99.91(0.00),99.91(0.00),99.92(0.00)
wine,99.90(0.14),99.73(0.09),99.33(0.18),98.88(0.19),98.57(0.30),99.28(0.12)
annthyroid,93.01(0.00),92.89(0.00),92.66(0.00),92.38(0.00),92.26(0.00),92.64(0.00)
census,72.18(0.34),72.34(0.17),72.28(0.10),71.93(0.17),71.80(0.17),72.11(0.16)
waveform,74.42(0.00),75.40(0.00),76.12(0.00),76.79(0.00),76.90(0.00),75.93(0.00)
cardio,91.53(0.00),92.03(0.00),92.46(0.00),93.06(0.00),93.28(0.00),92.47(0.00)
wbc,99.62(0.27),99.36(0.33),99.17(0.41),99.12(0.37),99.09(0.38),99.27(0.34)
ionosphere,98.48(0.60),98.13(0.74),97.84(0.64),96.83(0.71),96.21(0.79),97.50(0.63)
cover,97.90(0.17),97.72(0.14),97.40(0.18),96.99(0.23),96.84(0.24),97.37(0.19)
pageblocks,89.04(0.00),89.40(0.00),89.56(0.00),89.37(0.00),89.23(0.00),89.32(0.00)
pendigits,99.90(0.00),99.88(0.00),99.83(0.00),99.51(0.00),99.38(0.00),99.70(0.00)
satellite,82.40(0.00),82.09(0.00),81.55(0.00),80.71(0.00),80.38(0.00),81.43(0.00)
magic.gamma,83.91(0.00),83.49(0.00),82.87(0.00),82.05(0.00),81.73(0.00),82.81(0.00)
donors,99.72(0.03),99.61(0.03),99.43(0.06),99.14(0.09),99.02(0.10),99.38(0.06)
lymphography,99.88(0.25),99.79(0.32),99.79(0.32),99.76(0.31),99.76(0.31),99.80(0.30)
mammography,87.65(0.00),87.73(0.00),87.68(0.00),87.42(0.00),87.29(0.00),87.55(0.00)
