dataset,DTE_NP_5,DTE_NP_10,DTE_NP_20,DTE_NP_40,DTE_NP_50,DTE_NP_avr
agnews,0.00850,0.00843,0.00788,0.00794,0.00841,0.00823
20news,0.00248,0.00273,0.00262,0.00247,0.00276,0.00261
SVHN,0.00391,0.00368,0.00372,0.00367,0.00385,0.00377
FashionMNIST,0.00296,0.00294,0.00278,0.00288,0.00289,0.00289
MNIST-C,0.00569,0.00542,0.00540,0.00554,0.00566,0.00554
CIFAR10,0.00254,0.00252,0.00275,0.00282,0.00285,0.00269
MVTec-AD,0.00113,0.00110,0.00120,0.00122,0.00125,0.00118
wilt,0.00047,0.00043,0.00044,0.00052,0.00046,0.00046
mnist,0.00106,0.00099,0.00084,0.00105,0.00108,0.00100
hepatitis,0.00104,0.00065,0.00069,0.00063,0.00075,0.00075
yelp,0.00845,0.00868,0.00856,0.00911,0.00874,0.00871
spambase,0.00069,0.00071,0.00077,0.00075,0.00090,0.00076
smtp,0.00049,0.00053,0.00045,0.00038,0.00039,0.00045
speech,0.00135,0.00170,0.00201,0.00189,0.00187,0.00176
pima,0.00069,0.00075,0.00072,0.00067,0.00061,0.00068
internetads,0.00229,0.00250,0.00260,0.00245,0.00230,0.00243
stamps,0.00067,0.00070,0.00077,0.00082,0.00064,0.00072
cardiotocography,0.00072,0.00068,0.00069,0.00085,0.00080,0.00075
imdb,0.00658,0.00689,0.00689,0.00853,0.01257,0.00829
aloi,0.00168,0.00120,0.00136,0.00135,0.00162,0.00144
wpbc,0.00169,0.00157,0.00185,0.00182,0.00172,0.00173
yeast,0.00066,0.00087,0.00075,0.00072,0.00071,0.00074
fraud,0.00173,0.00140,0.00112,0.00156,0.00164,0.00149
musk,0.00171,0.00191,0.00170,0.00174,0.00248,0.00191
fault,0.00057,0.00053,0.00069,0.00062,0.00076,0.00063
amazon,0.00712,0.00786,0.00860,0.00916,0.00798,0.00814
campaign,0.00155,0.00201,0.00204,0.00166,0.00205,0.00186
breastw,0.00055,0.00067,0.00063,0.00065,0.00054,0.00061
glass,0.00173,0.00218,0.00216,0.00205,0.00187,0.00200
thyroid,0.00050,0.00053,0.00053,0.00047,0.00054,0.00051
http,0.00040,0.00038,0.00048,0.00042,0.00053,0.00044
optdigits,0.00098,0.00071,0.00098,0.00079,0.00075,0.00084
skin,0.00047,0.00050,0.00054,0.00043,0.00041,0.00047
backdoor,0.01004,0.01058,0.00878,0.00960,0.01091,0.00998
letter,0.00080,0.00086,0.00096,0.00080,0.00096,0.00088
vertebral,0.00074,0.00083,0.00082,0.00072,0.00066,0.00075
satimage-2,0.00073,0.00068,0.00063,0.00049,0.00066,0.00064
wdbc,0.00071,0.00060,0.00073,0.00064,0.00074,0.00068
celeba,0.00184,0.00154,0.00191,0.00268,0.00210,0.00201
landsat,0.00057,0.00058,0.00069,0.00057,0.00060,0.00060
vowels,0.00069,0.00068,0.00072,0.00068,0.00063,0.00068
shuttle,0.00045,0.00046,0.00071,0.00078,0.00103,0.00068
wine,0.00062,0.00060,0.00055,0.00061,0.00058,0.00059
annthyroid,0.00046,0.00047,0.00049,0.00055,0.00042,0.00048
census,0.03060,0.02539,0.02457,0.02421,0.02900,0.02675
waveform,0.00060,0.00068,0.00063,0.00061,0.00070,0.00064
cardio,0.00067,0.00084,0.00085,0.00061,0.00078,0.00075
wbc,0.00092,0.00084,0.00089,0.00090,0.00083,0.00087
ionosphere,0.00075,0.00085,0.00088,0.00069,0.00076,0.00078
cover,0.00053,0.00077,0.00073,0.00083,0.00064,0.00070
pageblocks,0.00056,0.00049,0.00047,0.00055,0.00048,0.00051
pendigits,0.00073,0.00050,0.00062,0.00068,0.00057,0.00062
satellite,0.00070,0.00060,0.00053,0.00073,0.00078,0.00067
magic.gamma,0.00049,0.00063,0.00052,0.00059,0.00044,0.00053
donors,0.00055,0.00061,0.00062,0.00085,0.00116,0.00076
lymphography,0.00134,0.00105,0.00130,0.00147,0.00131,0.00130
mammography,0.00040,0.00040,0.00046,0.00046,0.00044,0.00043
