dataset,DTE_NP_5,DTE_NP_10,DTE_NP_20,DTE_NP_40,DTE_NP_50,DTE_NP_avr
agnews,0.49992,0.48384,0.46325,0.37120,0.40504,0.44465
20news,0.06254,0.08301,0.09674,0.07331,0.08457,0.08003
SVHN,0.18555,0.15399,0.18099,0.17560,0.16989,0.17320
FashionMNIST,0.12629,0.13847,0.11627,0.12770,0.12926,0.12760
MNIST-C,0.28325,0.26680,0.26949,0.28151,0.26001,0.27221
CIFAR10,0.12499,0.09957,0.12120,0.14076,0.13529,0.12436
MVTec-AD,0.01083,0.01046,0.00983,0.00985,0.01145,0.01048
wilt,0.00277,0.00157,0.00190,0.00171,0.00253,0.00209
mnist,0.04098,0.03486,0.02575,0.01521,0.02729,0.02882
hepatitis,0.00090,0.00061,0.00060,0.00058,0.00050,0.00064
yelp,0.38577,0.36613,0.50041,0.43138,0.35500,0.40774
spambase,0.00292,0.00730,0.00639,0.00481,0.00709,0.00570
smtp,0.02017,0.02259,0.02362,0.01434,0.01562,0.01927
speech,0.03736,0.04759,0.07499,0.04444,0.05438,0.05175
pima,0.00240,0.00061,0.00066,0.00055,0.00043,0.00093
internetads,0.05321,0.13090,0.07922,0.05567,0.08556,0.08091
stamps,0.00046,0.00064,0.00055,0.00068,0.00057,0.00058
cardiotocography,0.00095,0.00183,0.00153,0.00166,0.00154,0.00150
imdb,0.22525,0.28791,0.28679,0.39109,0.46955,0.33212
aloi,0.10265,0.04348,0.05402,0.13292,0.09414,0.08544
wpbc,0.00157,0.00103,0.00135,0.00097,0.00098,0.00118
yeast,0.00092,0.00082,0.00073,0.00099,0.00092,0.00088
fraud,0.08405,0.09174,0.07265,0.07340,0.09145,0.08266
musk,0.04282,0.02676,0.03656,0.03046,0.02516,0.03235
fault,0.00103,0.00096,0.00154,0.00109,0.00127,0.00118
amazon,0.26613,0.39331,0.31233,0.49767,0.44561,0.38301
campaign,0.10030,0.15690,0.09888,0.10127,0.07280,0.10603
breastw,0.00040,0.00166,0.00056,0.00037,0.00108,0.00081
glass,0.00062,0.00100,0.00100,0.00097,0.00099,0.00092
thyroid,0.00169,0.00197,0.00224,0.00197,0.00224,0.00202
http,0.01736,0.02304,0.02347,0.01736,0.01543,0.01933
optdigits,0.01280,0.01162,0.01725,0.01713,0.01219,0.01420
skin,0.01702,0.01430,0.01230,0.02161,0.01212,0.01547
backdoor,0.29119,0.43600,0.73838,0.40700,0.76213,0.52694
letter,0.00164,0.00127,0.00393,0.00186,0.00225,0.00219
vertebral,0.00057,0.00044,0.00049,0.00057,0.00048,0.00051
satimage-2,0.01153,0.00644,0.00889,0.00725,0.00911,0.00864
wdbc,0.00103,0.00113,0.00094,0.00108,0.00083,0.00100
celeba,0.10379,0.11148,0.07976,0.08042,0.14079,0.10325
landsat,0.00758,0.00897,0.00997,0.00521,0.00811,0.00797
vowels,0.00144,0.00118,0.00131,0.00180,0.00081,0.00131
shuttle,0.03265,0.04539,0.03108,0.04810,0.04955,0.04136
wine,0.00055,0.00072,0.00054,0.00055,0.00046,0.00057
annthyroid,0.00286,0.00375,0.00336,0.00346,0.00252,0.00319
census,2.63078,1.23496,1.66646,3.02170,1.68682,2.04814
waveform,0.00249,0.00269,0.00227,0.00422,0.00328,0.00299
cardio,0.00130,0.00149,0.00198,0.00119,0.00138,0.00147
wbc,0.00073,0.00056,0.00048,0.00054,0.00084,0.00063
ionosphere,0.00071,0.00076,0.00091,0.00311,0.00077,0.00125
cover,0.06868,0.05095,0.07684,0.08146,0.05402,0.06639
pageblocks,0.00529,0.00468,0.00423,0.00426,0.00330,0.00435
pendigits,0.00591,0.00413,0.00612,0.00577,0.00454,0.00529
satellite,0.01005,0.00945,0.00898,0.00767,0.01342,0.00992
magic.gamma,0.01276,0.01610,0.01673,0.01229,0.01404,0.01438
donors,0.05591,0.03517,0.03542,0.07847,0.07919,0.05683
lymphography,0.00080,0.00077,0.00069,0.00114,0.00084,0.00085
mammography,0.00679,0.00359,0.00499,0.00518,0.00694,0.00550
