dataset,ICL_0.1,ICL_0.01,ICL_0.001,ICL_0.0001,ICL_1e-05,ICL_avr
agnews,14.17(0.19),14.40(0.24),14.47(0.12),14.53(0.20),13.69(0.12),14.25(0.08)
20news,12.82(0.91),14.12(1.10),15.05(1.36),16.54(1.42),12.79(0.95),14.26(0.73)
SVHN,16.44(0.90),19.22(0.23),20.00(0.14),20.07(0.30),18.85(0.22),18.92(0.20)
FashionMNIST,56.83(0.32),63.23(0.30),64.48(0.20),64.41(0.16),58.13(0.29),61.42(0.13)
MNIST-C,45.87(0.49),50.05(0.46),51.49(0.27),51.46(0.39),47.26(0.49),49.22(0.12)
CIFAR10,16.33(0.58),20.51(0.66),22.84(0.26),22.87(0.57),15.56(0.45),19.62(0.19)
MVTec-AD,79.81(0.59),81.35(0.82),82.39(0.82),82.20(0.46),77.51(0.66),80.65(0.56)
wilt,6.15(7.00),11.36(4.93),37.04(8.60),39.61(4.50),37.59(2.50),26.35(2.35)
mnist,45.37(1.84),46.20(3.18),50.54(1.26),59.20(1.30),62.66(2.09),52.79(0.77)
hepatitis,99.64(0.71),94.69(7.81),99.64(0.71),99.64(0.71),99.64(0.71),98.65(2.11)
yelp,7.64(0.70),8.20(0.38),7.52(0.65),7.56(0.29),7.56(0.37),7.70(0.20)
spambase,76.97(2.12),76.88(3.76),80.35(0.48),80.23(0.62),74.93(0.44),77.87(0.46)
smtp,39.28(18.81),59.49(7.84),54.93(13.50),48.81(9.06),50.03(10.03),50.51(3.54)
speech,2.95(1.23),3.61(1.23),3.28(1.04),2.95(2.41),4.59(1.61),3.48(0.92)
pima,68.77(4.96),68.29(2.03),74.95(1.27),71.40(1.67),68.83(2.08),70.45(1.78)
internetads,55.92(2.66),57.45(0.61),57.77(1.10),58.26(0.50),49.02(1.45),55.68(0.94)
stamps,34.84(12.18),42.45(13.97),83.03(3.34),76.24(6.92),73.47(7.50),62.00(6.23)
cardiotocography,36.14(1.28),41.07(1.73),39.18(4.49),35.36(2.14),32.66(1.59),36.88(1.27)
imdb,10.52(0.65),10.44(0.54),9.84(0.37),9.76(0.15),10.40(0.33),10.19(0.23)
aloi,4.51(0.69),4.34(0.42),5.28(0.47),4.68(0.30),4.16(0.38),4.59(0.07)
wpbc,81.91(5.11),63.78(10.33),88.98(3.08),88.64(3.69),83.46(2.71),81.35(3.33)
yeast,46.31(2.91),48.95(1.78),49.35(0.54),49.31(0.62),48.13(0.93),48.41(0.87)
fraud,57.54(10.13),48.97(8.02),58.90(6.77),66.88(4.88),79.18(3.21),62.30(4.91)
musk,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),46.80(8.26),89.36(1.65)
fault,60.33(3.36),59.52(2.09),58.57(1.11),58.37(0.79),58.87(1.51),59.13(1.36)
amazon,10.44(0.46),9.76(0.34),9.92(0.84),10.08(0.35),9.52(0.43),9.94(0.32)
campaign,48.12(0.36),46.81(1.72),50.68(0.66),51.37(0.85),53.40(0.51),50.07(0.49)
breastw,95.98(0.34),96.07(0.94),96.80(0.40),97.44(0.55),96.11(0.75),96.48(0.28)
glass,43.53(20.21),57.05(16.03),84.05(6.11),87.24(5.04),82.50(5.41),70.87(3.12)
thyroid,68.39(4.17),61.29(1.80),61.08(4.63),63.87(3.57),33.76(5.95),57.68(1.74)
http,93.91(10.35),96.07(3.07),97.69(1.51),99.36(0.19),99.14(0.43),97.23(2.45)
optdigits,29.87(5.68),41.20(3.49),44.67(5.56),71.73(0.53),46.00(5.11),46.69(2.00)
skin,38.03(28.70),72.09(8.03),67.99(9.92),54.29(12.30),49.74(13.81),56.43(9.55)
backdoor,87.17(0.98),87.32(0.99),87.11(1.09),86.85(0.95),85.37(1.01),86.76(1.00)
letter,6.80(4.21),4.00(1.55),3.60(1.36),3.20(0.75),11.60(2.06),5.84(1.11)
vertebral,23.17(6.96),29.15(9.05),52.53(11.60),64.81(3.19),54.89(6.76),44.91(2.82)
satimage-2,38.03(8.59),72.68(32.26),91.83(0.56),89.58(1.13),56.34(12.38),69.69(7.51)
wdbc,64.32(18.21),80.42(5.68),84.10(6.72),87.13(4.26),78.33(5.25),78.86(2.34)
celeba,15.42(2.29),17.97(2.55),17.20(1.92),17.46(1.17),16.17(0.65),16.84(0.88)
landsat,49.50(1.24),47.94(1.88),54.51(0.52),54.25(0.74),47.97(1.09),50.83(0.68)
vowels,22.40(17.59),18.80(6.52),30.80(7.44),30.80(12.43),24.00(7.04),25.36(2.94)
shuttle,97.17(1.11),98.27(0.10),98.83(0.14),98.91(0.12),98.38(0.21),98.31(0.24)
wine,97.95(4.09),96.72(3.06),98.25(2.23),98.18(3.64),97.67(3.23),97.76(2.03)
annthyroid,54.87(13.24),42.25(3.55),53.45(4.13),54.72(5.45),57.53(2.97),52.56(3.29)
census,22.72(1.73),24.06(2.05),25.80(1.34),27.15(1.12),24.06(1.31),24.76(0.50)
waveform,47.80(3.06),38.20(17.57),35.40(7.47),11.60(1.62),28.40(4.22),32.28(5.79)
cardio,49.09(11.28),61.93(5.57),58.86(1.59),57.95(2.30),40.57(4.28),53.68(2.83)
wbc,78.86(7.89),84.03(7.23),96.89(4.35),95.71(4.90),90.32(5.34),89.16(3.80)
ionosphere,92.64(4.66),91.41(4.67),93.86(1.63),94.48(0.71),94.49(1.56),93.38(2.21)
cover,26.77(15.24),15.53(8.17),42.68(17.00),53.70(16.88),44.34(20.24),36.61(2.59)
pageblocks,62.16(2.84),64.08(2.96),62.31(2.65),63.88(1.08),62.20(1.05),62.93(0.29)
pendigits,46.03(17.81),60.51(10.58),59.23(5.15),66.03(5.18),51.03(3.57),56.56(5.52)
satellite,65.94(10.44),72.95(2.96),76.27(0.81),78.70(0.90),74.22(0.57),73.62(2.69)
magic.gamma,64.88(2.50),69.99(2.98),69.99(0.87),70.21(0.50),71.64(0.93),69.34(1.08)
donors,43.71(11.52),81.85(3.56),83.59(4.47),89.28(2.66),92.77(1.39),78.24(2.61)
lymphography,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00)
mammography,36.62(8.76),38.15(8.41),27.69(1.80),29.08(2.63),18.15(1.23),29.94(2.59)
