dataset,ICL_0.1,ICL_0.01,ICL_0.001,ICL_0.0001,ICL_1e-05,ICL_avr
agnews,12.45(0.12),12.84(0.25),13.04(0.08),13.05(0.04),12.55(0.05),12.79(0.06)
20news,12.37(0.20),13.20(0.34),13.52(0.34),13.98(0.35),11.83(0.29),12.98(0.23)
SVHN,13.92(0.24),15.32(0.05),15.82(0.01),15.74(0.09),15.01(0.13),15.16(0.06)
FashionMNIST,58.47(0.45),64.11(0.18),64.96(0.32),65.22(0.32),55.84(0.54),61.72(0.18)
MNIST-C,44.47(0.54),48.19(0.57),50.18(0.26),50.34(0.31),45.98(0.37),47.83(0.12)
CIFAR10,14.30(0.27),17.49(0.41),19.10(0.21),18.89(0.21),13.77(0.14),16.71(0.19)
MVTec-AD,86.94(0.92),88.30(0.67),88.91(0.75),88.97(0.75),83.64(0.91),87.35(0.76)
wilt,11.08(3.73),12.91(2.67),32.19(7.32),32.00(2.89),31.22(2.08),23.88(1.71)
mnist,49.27(1.39),50.40(3.02),54.46(1.34),63.49(1.45),65.20(1.41),56.56(0.65)
hepatitis,99.85(0.30),97.89(3.11),99.79(0.41),98.94(2.13),99.93(0.14),99.28(1.20)
yelp,9.79(0.11),9.91(0.05),9.82(0.17),9.84(0.06),9.59(0.03),9.79(0.05)
spambase,80.80(1.90),81.18(2.88),85.16(0.70),85.42(0.58),82.51(0.72),83.01(0.50)
smtp,38.06(20.67),42.88(7.84),38.77(14.99),37.40(6.86),36.22(4.31),38.67(3.38)
speech,3.74(1.02),3.79(0.38),3.92(0.39),3.46(0.20),3.41(0.23),3.66(0.23)
pima,74.29(3.85),71.44(2.85),78.53(2.86),76.72(1.68),75.58(3.60),75.31(2.15)
internetads,57.32(2.19),60.94(1.44),62.86(1.88),63.83(0.88),47.64(2.20),58.52(1.04)
stamps,45.19(8.30),52.05(12.46),80.41(3.57),80.49(4.25),74.72(8.62),66.57(4.58)
cardiotocography,43.21(5.03),52.56(1.14),50.69(2.12),49.01(1.29),39.79(1.23),47.05(1.34)
imdb,10.09(0.09),10.02(0.07),10.16(0.04),10.18(0.05),10.41(0.04),10.17(0.03)
aloi,5.50(0.09),5.39(0.07),5.50(0.08),5.59(0.04),5.46(0.01),5.49(0.02)
wpbc,82.28(2.77),66.72(11.51),85.45(3.99),85.99(2.53),83.48(3.70),80.78(4.52)
yeast,48.32(2.44),49.17(1.53),49.01(0.39),49.32(0.70),47.21(0.41),48.61(0.81)
fraud,51.45(12.34),49.97(9.27),56.24(9.47),62.41(10.30),72.24(6.51),58.46(7.58)
musk,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),47.39(9.71),89.48(1.94)
fault,65.37(3.40),64.58(1.81),63.83(0.74),63.93(0.94),64.32(0.96),64.41(1.09)
amazon,10.06(0.10),10.08(0.03),9.91(0.13),10.01(0.05),9.99(0.02),10.01(0.05)
campaign,47.46(0.41),44.03(2.05),47.94(0.25),49.22(0.91),51.41(0.51),48.01(0.47)
breastw,98.65(0.81),98.46(0.51),98.98(0.57),98.50(0.42),95.32(1.11),97.98(0.31)
glass,49.70(15.55),69.98(13.15),88.19(6.00),87.25(7.44),87.79(8.75),76.58(1.38)
thyroid,72.79(3.97),56.56(5.89),56.38(5.72),60.13(6.20),30.60(3.56),55.29(1.31)
http,94.85(9.03),95.76(3.25),97.86(1.72),99.77(0.25),99.55(0.61),97.56(2.20)
optdigits,27.13(3.47),36.36(3.03),38.29(3.65),61.20(0.68),42.39(5.22),41.08(1.34)
skin,44.77(20.35),73.00(9.87),68.01(9.89),49.36(11.31),48.40(11.06),56.71(7.09)
backdoor,85.81(2.45),88.14(1.38),88.99(1.12),88.96(1.20),86.24(0.75),87.63(1.03)
letter,11.22(1.58),10.84(0.96),9.41(0.34),9.71(0.55),15.87(1.71),11.41(0.43)
vertebral,25.76(4.65),31.37(8.07),50.83(13.40),59.35(3.61),54.90(6.08),44.44(4.60)
satimage-2,37.06(8.31),77.53(35.36),96.77(0.59),95.65(0.53),50.77(13.44),71.56(7.98)
wdbc,66.53(18.38),85.94(10.45),89.36(6.27),92.02(6.00),89.28(3.59),84.63(3.40)
celeba,12.89(1.17),13.90(1.49),13.09(1.73),13.50(1.15),12.97(0.55),13.27(0.47)
landsat,58.66(1.95),56.49(1.07),55.72(1.20),55.69(0.77),52.73(0.98),55.86(0.60)
vowels,24.00(15.67),21.57(7.57),28.45(5.52),28.35(6.64),22.16(3.78),24.91(3.58)
shuttle,97.77(1.43),99.19(0.23),99.82(0.12),99.91(0.05),99.72(0.12),99.28(0.28)
wine,98.06(3.88),98.33(1.88),99.48(0.75),97.94(4.12),98.11(3.43),98.38(2.75)
annthyroid,58.53(13.33),39.69(5.23),53.66(3.08),53.85(5.44),55.94(2.70),52.34(3.72)
census,20.29(1.27),20.38(2.24),23.32(0.50),23.68(0.70),22.37(0.59),22.01(0.42)
waveform,51.44(2.31),34.95(18.32),28.41(9.48),9.51(0.97),20.22(2.30),28.91(5.68)
