dataset,ICL_0.1,ICL_0.01,ICL_0.001,ICL_0.0001,ICL_1e-05,ICL_avr
agnews,56.84(0.12),57.43(0.39),57.59(0.12),57.89(0.09),56.85(0.16),57.32(0.11)
20news,57.95(0.57),59.21(0.72),59.52(0.72),60.25(0.48),55.58(0.17),58.50(0.44)
SVHN,59.44(0.27),61.25(0.11),61.73(0.07),61.54(0.06),60.61(0.08),60.91(0.03)
FashionMNIST,87.80(0.21),90.44(0.09),90.91(0.06),90.95(0.03),88.57(0.10),89.74(0.07)
MNIST-C,80.78(0.30),83.24(0.51),85.02(0.14),84.91(0.11),83.37(0.12),83.46(0.11)
CIFAR10,59.53(0.31),64.12(0.37),65.72(0.09),65.89(0.27),59.25(0.13),62.90(0.15)
MVTec-AD,93.31(0.36),93.73(0.30),94.26(0.35),94.27(0.32),89.82(0.44),93.08(0.33)
wilt,52.75(14.46),61.09(5.94),83.81(3.04),84.63(1.21),79.81(0.93),72.42(2.57)
mnist,75.53(1.43),76.05(3.81),79.13(1.20),87.05(1.12),89.10(0.77),81.37(0.93)
hepatitis,99.95(0.11),98.76(1.84),99.93(0.14),99.86(0.29),99.97(0.06),99.69(0.48)
yelp,53.40(0.49),54.26(0.22),54.08(0.78),54.07(0.26),52.73(0.21),53.71(0.22)
spambase,79.20(2.89),79.36(5.07),83.16(0.34),83.39(0.40),78.42(0.49),80.71(0.86)
smtp,81.23(10.57),87.97(4.57),90.53(5.25),89.48(4.52),92.63(4.06),88.37(5.41)
speech,50.06(3.03),50.96(2.48),53.72(1.46),51.29(2.33),46.64(1.97),50.53(1.10)
pima,74.66(3.27),73.04(1.77),79.77(1.92),78.06(0.74),75.09(2.65),76.12(1.04)
internetads,72.61(1.19),73.97(0.44),74.09(1.75),73.47(0.45),68.51(0.74),72.53(0.65)
stamps,77.62(9.15),84.33(6.20),97.29(0.48),96.70(0.85),94.64(3.19),90.11(2.02)
cardiotocography,48.99(2.02),54.18(2.77),53.24(3.25),50.67(2.55),47.20(1.33),50.85(1.24)
imdb,52.16(0.31),51.88(0.40),52.28(0.15),52.35(0.12),53.06(0.15),52.35(0.12)
aloi,47.74(0.28),47.12(0.51),46.81(0.47),48.42(0.24),48.06(0.23),47.63(0.15)
wpbc,91.76(2.53),76.46(9.54),95.40(1.42),95.51(1.23),92.46(1.77),90.32(2.50)
yeast,45.12(3.69),47.02(1.77),47.25(0.62),47.38(1.07),46.32(0.91),46.62(1.16)
fraud,93.24(1.45),93.21(1.25),94.97(0.71),95.84(0.87),93.90(1.05),94.23(0.87)
musk,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),85.92(1.84),97.18(0.37)
fault,63.37(3.29),63.04(1.93),61.65(0.61),61.44(0.87),62.83(1.01),62.47(1.14)
amazon,53.07(0.19),53.44(0.19),52.75(0.68),53.31(0.21),53.18(0.15),53.15(0.19)
campaign,76.07(0.87),74.61(1.97),78.88(0.42),79.79(0.91),82.30(0.38),78.33(0.52)
breastw,98.96(0.47),98.87(0.20),99.19(0.34),99.11(0.18),97.61(0.65),98.75(0.18)
glass,84.02(8.38),94.66(3.83),99.25(0.37),99.30(0.35),99.12(0.55),95.27(1.45)
thyroid,94.79(1.60),95.24(1.04),96.20(0.74),96.78(1.19),93.73(0.80),95.35(0.60)
http,99.96(0.07),99.97(0.02),99.98(0.01),100.00(0.00),100.00(0.00),99.98(0.02)
optdigits,91.22(1.88),94.15(0.97),95.17(0.85),98.47(0.03),95.08(1.06),94.82(0.49)
skin,53.71(32.40),86.42(5.89),86.94(5.22),71.25(17.43),70.72(13.69),73.81(10.45)
backdoor,93.03(0.66),92.91(0.70),93.30(0.44),93.93(0.58),93.32(0.71),93.30(0.48)
letter,48.14(3.53),42.74(3.41),40.70(2.13),40.32(1.11),47.20(2.50),43.82(1.97)
vertebral,53.80(4.97),58.76(7.63),75.60(6.18),82.96(2.86),81.92(1.33),70.61(1.11)
satimage-2,94.41(2.46),93.04(12.69),99.80(0.06),99.55(0.09),98.15(0.57),96.99(2.56)
wdbc,96.66(2.87),99.05(0.72),99.51(0.25),99.67(0.15),99.29(0.25),98.84(0.43)
celeba,79.38(2.17),79.15(2.47),76.13(1.88),78.39(1.78),79.43(1.44),78.49(0.93)
landsat,65.71(2.05),60.63(1.79),65.95(0.76),67.85(0.68),61.82(1.06),64.39(0.59)
vowels,73.59(6.94),79.11(2.66),84.59(3.49),84.81(3.61),83.99(1.93),81.22(1.57)
shuttle,99.43(0.50),99.89(0.05),99.99(0.00),99.99(0.00),99.97(0.01),99.85(0.11)
wine,99.64(0.73),99.73(0.29),99.92(0.12),99.81(0.39),99.84(0.26),99.79(0.33)
annthyroid,84.02(9.46),72.68(3.79),87.29(2.69),88.84(2.35),88.52(1.40),84.27(2.31)
census,70.41(2.07),67.52(8.79),73.93(0.78),75.03(0.46),74.37(0.53),72.25(1.63)
waveform,70.94(1.78),73.85(6.07),70.23(2.82),61.96(1.35),64.69(1.66),68.33(2.15)
cardio,73.99(7.79),84.98(4.75),82.30(3.36),78.68(2.18),68.59(0.64),77.71(1.76)
wbc,98.13(1.33),99.08(0.62),99.89(0.19),99.90(0.16),99.69(0.22),99.34(0.42)
ionosphere,96.81(2.22),96.13(3.45),98.90(0.41),98.91(0.31),98.14(0.79),97.78(1.23)
cover,93.59(3.09),82.32(9.14),91.92(4.58),94.97(2.91),94.27(3.40),91.42(1.74)
pageblocks,89.21(1.10),90.77(1.73),88.70(1.01),88.58(0.56),88.53(0.27),89.16(0.29)
pendigits,87.01(9.78),96.45(2.40),96.17(2.68),98.28(0.77),95.10(0.89),94.60(2.36)
satellite,74.62(9.67),83.23(2.89),85.43(0.52),89.24(0.57),85.35(0.48),83.57(2.48)
magic.gamma,69.73(3.02),76.94(3.25),77.61(0.70),77.81(0.88),78.36(1.34),76.09(1.17)
