dataset,ICL_0.1,ICL_0.01,ICL_0.001,ICL_0.0001,ICL_1e-05,ICL_avr
agnews,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
20news,0.00018,0.00019,0.00018,0.00019,0.00019,0.00019
SVHN,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
FashionMNIST,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
MNIST-C,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
CIFAR10,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
MVTec-AD,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
wilt,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
mnist,0.00008,0.00008,0.00008,0.00008,0.00008,0.00008
hepatitis,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
yelp,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
spambase,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
smtp,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
speech,0.00020,0.00018,0.00019,0.00018,0.00018,0.00019
pima,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
internetads,0.00021,0.00020,0.00020,0.00020,0.00020,0.00020
stamps,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
cardiotocography,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
imdb,0.00018,0.00019,0.00018,0.00018,0.00018,0.00018
aloi,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
wpbc,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
yeast,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
fraud,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001
musk,0.00018,0.00018,0.00018,0.00018,0.00018,0.00018
fault,0.00003,0.00001,0.00001,0.00001,0.00001,0.00002
amazon,0.00018,0.00018,0.00018,0.00018,0.00019,0.00018
campaign,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
breastw,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
glass,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
thyroid,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
http,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
optdigits,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003
skin,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
backdoor,0.00018,0.00018,0.00018,0.00018,0.00017,0.00018
letter,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
vertebral,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
satimage-2,0.00002,0.00003,0.00002,0.00002,0.00002,0.00002
wdbc,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
celeba,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
landsat,0.00002,0.00003,0.00002,0.00002,0.00002,0.00002
vowels,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
shuttle,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
wine,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
annthyroid,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
census,0.00018,0.00019,0.00019,0.00018,0.00018,0.00018
waveform,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
cardio,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
wbc,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
ionosphere,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
cover,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
pageblocks,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
pendigits,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
satellite,0.00002,0.00002,0.00002,0.00002,0.00002,0.00002
magic.gamma,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
donors,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
lymphography,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
mammography,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
