dataset,ICL_0.1,ICL_0.01,ICL_0.001,ICL_0.0001,ICL_1e-05,ICL_avr
agnews,2226.67557,2224.38743,2225.22960,2244.78441,2234.35271,2231.08594
20news,464.46216,464.44108,464.47970,464.29515,464.73797,464.48321
SVHN,1579.03909,1571.98983,1574.67261,1576.78347,1578.14443,1576.12588
FashionMNIST,1383.18337,1383.18994,1389.85798,1391.55793,1383.77453,1386.31275
MNIST-C,2201.83150,2206.85111,2210.81093,2207.82619,2206.13672,2206.69129
CIFAR10,1158.97912,1160.05394,1158.50713,1159.72210,1158.00191,1159.05284
MVTec-AD,179.18117,179.65755,179.79981,179.84860,179.56217,179.60986
wilt,3.25124,4.88109,10.78751,45.68103,42.90665,21.50150
mnist,753.99839,752.57663,753.29345,752.88461,749.58648,752.46791
hepatitis,18.87091,14.60102,18.85759,18.77506,19.27796,18.07651
yelp,2221.13018,2223.31496,2223.29421,2220.20371,2222.39190,2222.06699
spambase,104.81975,97.29984,105.03152,105.16742,105.66727,103.59716
smtp,2.02757,4.07901,9.11159,31.69058,179.08044,45.19784
speech,918.50583,883.42582,850.49249,845.52560,844.19691,868.42933
pima,5.00316,2.77888,9.77782,15.35721,15.53495,9.69040
internetads,412.40706,411.98533,412.15107,412.57071,411.55096,412.13303
stamps,7.04122,3.54134,9.67643,16.28796,15.87858,10.48511
cardiotocography,34.54874,34.94248,34.92852,33.93869,34.41067,34.55382
imdb,2222.94710,2228.53904,2225.61190,2221.70092,2221.96092,2224.15198
aloi,1093.78247,1094.90921,954.93023,1106.98629,1106.69226,1071.46009
wpbc,25.57614,26.22905,25.66433,25.66606,25.43447,25.71401
yeast,3.78248,3.64487,7.82748,16.02505,16.13111,9.48220
fraud,1177.57003,1170.31202,1166.02644,1167.05506,1167.85858,1169.76443
musk,727.95502,687.63312,687.98810,682.03258,682.67466,693.65670
fault,34.83138,33.15875,33.18578,33.29836,32.97229,33.48931
amazon,2229.16239,2223.89565,2223.31474,2223.06879,2228.54434,2225.59718
campaign,901.09471,223.73774,411.56776,1740.76687,1743.88576,1004.21057
breastw,5.49040,4.19272,13.74388,15.45014,14.87628,10.75069
glass,3.41257,3.18056,7.13072,16.14415,16.03955,9.18151
thyroid,7.94166,4.87335,14.84563,41.07138,40.07136,21.76067
http,2.25597,4.05628,4.49553,18.62497,107.03605,27.29376
optdigits,253.56906,247.06556,245.71780,245.71577,243.87694,247.18902
skin,0.63449,1.63973,6.16567,39.18006,254.43967,60.41192
backdoor,11478.55454,11276.85663,11264.23797,11245.45759,11197.93466,11292.60828
letter,43.90589,43.22352,43.22224,43.66912,44.01660,43.60747
vertebral,2.30327,2.50426,8.60675,15.94298,15.10402,8.89225
satimage-2,172.05429,170.66060,170.52608,170.71275,170.52040,170.89482
wdbc,28.93660,28.82870,28.95626,28.97199,28.92424,28.92356
celeba,1575.01386,1572.69235,1581.88206,1579.33324,1575.04496,1576.79329
landsat,155.47915,154.75110,152.94439,152.79793,152.72087,153.73869
vowels,17.21764,7.13262,21.21479,21.77842,22.03344,17.87538
shuttle,28.27467,20.23254,51.40680,272.04799,533.72387,181.13717
wine,15.04584,7.14380,17.34461,18.57073,18.17814,15.25662
annthyroid,5.96895,4.66974,13.54493,76.05825,75.61698,35.17177
census,11079.37469,11079.29441,11074.46537,10898.70924,10796.80715,10985.73017
waveform,63.43244,62.96239,64.56921,63.79143,62.89602,63.53030
cardio,34.15406,34.37530,34.29246,34.37311,34.24978,34.28894
wbc,8.16068,4.57322,12.61387,16.81358,16.52631,11.73753
ionosphere,21.69868,21.66064,21.62762,21.66053,21.69660,21.66881
cover,49.49747,16.65766,61.64236,307.11820,619.13284,210.80971
pageblocks,23.39078,14.81049,39.17840,58.62087,58.65899,38.93190
pendigits,108.21463,27.51455,110.51612,111.30378,111.47474,93.80476
satellite,133.16575,132.64975,130.84720,130.79749,130.93549,131.67913
magic.gamma,35.13313,15.78665,58.86078,162.25907,161.87645,86.78322
donors,35.97549,19.58206,55.75644,234.51068,586.48275,186.46148
lymphography,20.11687,17.95778,20.08869,20.10800,20.10255,19.67478
mammography,8.61241,8.10758,31.17975,109.75872,109.67559,53.46681
