dataset,KNN_5,KNN_10,KNN_20,KNN_40,KNN_50,KNN_avr
agnews,20.10(0.00),19.25(0.00),18.10(0.00),16.85(0.00),16.40(0.00),18.14(0.00)
20news,15.11(1.90),13.63(1.52),12.70(1.43),11.85(1.43),10.81(1.54),12.82(1.49)
SVHN,18.95(0.00),18.79(0.00),18.70(0.00),18.42(0.00),18.38(0.00),18.65(0.00)
FashionMNIST,59.05(0.00),58.48(0.00),57.87(0.00),57.27(0.00),57.21(0.00),57.97(0.00)
MNIST-C,46.30(0.00),45.24(0.00),44.46(0.00),43.87(0.00),43.70(0.00),44.72(0.00)
CIFAR10,22.85(0.00),22.89(0.00),22.78(0.00),22.47(0.00),22.47(0.00),22.69(0.00)
MVTec-AD,67.06(1.03),65.80(0.80),65.00(0.73),64.20(0.60),64.09(0.54),65.23(0.73)
wilt,2.33(0.00),1.56(0.00),0.78(0.00),0.78(0.00),0.78(0.00),1.25(0.00)
mnist,71.86(0.00),71.29(0.00),69.86(0.00),69.71(0.00),69.71(0.00),70.49(0.00)
hepatitis,81.98(4.50),66.04(4.53),62.31(6.09),60.39(6.21),60.04(7.30),66.15(4.71)
yelp,18.80(0.00),17.60(0.00),17.40(0.00),16.20(0.00),16.80(0.00),17.36(0.00)
spambase,80.52(0.00),79.93(0.00),79.15(0.00),78.98(0.00),78.80(0.00),79.48(0.00)
smtp,69.59(3.95),69.59(3.95),69.59(3.95),69.59(3.95),69.59(3.95),69.59(3.95)
speech,3.28(0.00),3.28(0.00),3.28(0.00),3.28(0.00),3.28(0.00),3.28(0.00)
pima,71.03(2.53),70.18(2.12),71.58(2.16),71.67(2.10),72.03(2.02),71.30(2.00)
internetads,51.90(0.00),46.20(0.00),45.11(0.00),45.11(0.00),45.11(0.00),46.68(0.00)
stamps,78.57(8.41),68.89(8.23),62.67(6.19),60.52(7.08),61.78(6.58),66.49(7.15)
cardiotocography,46.35(0.00),46.78(0.00),47.85(0.00),50.86(0.00),51.93(0.00),48.76(0.00)
imdb,5.40(0.00),5.40(0.00),5.40(0.00),5.00(0.00),5.00(0.00),5.24(0.00)
aloi,5.90(0.00),5.64(0.00),5.97(0.00),6.17(0.00),6.37(0.00),6.01(0.00)
wpbc,50.17(2.76),42.79(2.99),40.15(1.26),37.87(3.42),39.00(3.24),41.99(2.22)
yeast,46.75(0.00),45.96(0.00),47.14(0.00),46.75(0.00),46.94(0.00),46.71(0.00)
fraud,47.78(3.09),49.39(5.24),46.64(4.18),42.58(3.16),41.64(3.36),45.61(3.48)
musk,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00)
fault,55.57(0.00),55.87(0.00),57.06(0.00),57.50(0.00),58.25(0.00),56.85(0.00)
amazon,11.40(0.00),10.20(0.00),10.60(0.00),11.20(0.00),11.20(0.00),10.92(0.00)
campaign,50.37(0.00),50.86(0.00),51.27(0.00),51.70(0.00),51.29(0.00),51.10(0.00)
breastw,96.00(0.44),96.05(0.33),95.87(0.28),95.99(0.39),95.93(0.32),95.97(0.31)
glass,29.87(9.62),22.55(6.87),18.58(4.19),17.23(3.73),17.23(3.73),21.09(5.16)
thyroid,75.27(0.00),73.12(0.00),72.04(0.00),73.12(0.00),74.19(0.00),73.55(0.00)
http,100.00(0.00),98.57(2.86),92.67(0.91),92.67(0.91),92.67(0.91),95.32(0.75)
optdigits,21.33(0.00),12.00(0.00),6.67(0.00),2.67(0.00),2.00(0.00),8.93(0.00)
skin,96.71(0.41),95.85(0.17),94.56(0.29),91.73(0.16),90.60(0.28),93.89(0.13)
