dataset,KNN_5,KNN_10,KNN_20,KNN_40,KNN_50,KNN_avr
agnews,16.68(0.00),15.98(0.00),15.35(0.00),14.71(0.00),14.50(0.00),15.45(0.00)
20news,13.76(0.93),12.83(0.58),12.50(0.63),12.15(0.62),11.95(0.62),12.64(0.66)
SVHN,15.34(0.00),15.22(0.00),15.11(0.00),15.02(0.00),14.99(0.00),15.13(0.00)
FashionMNIST,59.15(0.00),58.64(0.00),58.19(0.00),57.74(0.00),57.60(0.00),58.26(0.00)
MNIST-C,46.20(0.00),45.18(0.00),44.32(0.00),43.50(0.00),43.23(0.00),44.49(0.00)
CIFAR10,19.62(0.00),19.50(0.00),19.37(0.00),19.27(0.00),19.24(0.00),19.40(0.00)
MVTec-AD,75.38(0.86),73.88(0.83),73.13(0.87),72.56(0.79),72.46(0.78),73.48(0.82)
wilt,12.25(0.00),11.04(0.00),10.11(0.00),9.33(0.00),9.09(0.00),10.36(0.00)
mnist,72.72(0.00),71.40(0.00),70.09(0.00),69.02(0.00),68.60(0.00),70.36(0.00)
hepatitis,91.10(4.41),69.28(4.16),64.12(5.59),64.29(5.08),64.33(6.16),70.62(4.48)
yelp,16.03(0.00),15.63(0.00),15.17(0.00),14.77(0.00),14.66(0.00),15.25(0.00)
spambase,83.32(0.00),82.70(0.00),82.41(0.00),82.17(0.00),82.11(0.00),82.54(0.00)
smtp,50.26(5.73),50.20(5.74),50.18(5.75),50.33(5.85),50.41(5.72),50.27(5.76)
speech,2.80(0.00),2.73(0.00),2.74(0.00),2.76(0.00),2.74(0.00),2.75(0.00)
pima,75.66(2.91),73.62(2.59),73.42(2.98),73.71(2.79),73.63(2.86),74.01(2.75)
internetads,49.22(0.00),47.29(0.00),46.93(0.00),46.95(0.00),46.94(0.00),47.47(0.00)
stamps,73.26(7.70),65.58(7.71),63.12(6.69),62.09(7.20),61.57(7.18),65.12(7.10)
cardiotocography,57.43(0.00),58.37(0.00),59.44(0.00),61.41(0.00),62.19(0.00),59.77(0.00)
imdb,8.92(0.00),8.94(0.00),8.99(0.00),8.98(0.00),8.99(0.00),8.96(0.00)
aloi,6.02(0.00),6.07(0.00),6.09(0.00),6.13(0.00),6.15(0.00),6.09(0.00)
wpbc,47.07(2.57),43.16(2.41),42.43(2.53),42.28(2.60),42.11(2.47),43.41(2.44)
yeast,48.26(0.00),47.48(0.00),47.24(0.00),46.74(0.00),46.48(0.00),47.24(0.00)
