dataset,KNN_5,KNN_10,KNN_20,KNN_40,KNN_50,KNN_avr
agnews,67.05(0.00),66.15(0.00),65.24(0.00),64.32(0.00),64.00(0.00),65.35(0.00)
20news,57.53(0.84),56.74(0.86),56.28(0.90),56.07(0.92),55.62(0.88),56.45(0.88)
SVHN,61.69(0.00),61.37(0.00),61.06(0.00),60.82(0.00),60.74(0.00),61.14(0.00)
FashionMNIST,89.87(0.00),89.55(0.00),89.27(0.00),88.96(0.00),88.86(0.00),89.30(0.00)
MNIST-C,84.11(0.00),83.39(0.00),82.64(0.00),81.81(0.00),81.53(0.00),82.70(0.00)
CIFAR10,67.53(0.00),67.39(0.00),67.21(0.00),67.09(0.00),67.06(0.00),67.26(0.00)
MVTec-AD,81.33(0.47),79.41(0.45),78.35(0.51),77.55(0.42),77.39(0.43),78.81(0.45)
wilt,63.66(0.00),59.33(0.00),55.21(0.00),51.13(0.00),49.77(0.00),55.82(0.00)
mnist,93.85(0.00),93.45(0.00),93.00(0.00),92.55(0.00),92.36(0.00),93.04(0.00)
hepatitis,96.77(1.47),86.88(2.21),85.50(2.34),85.46(1.92),84.88(2.09),87.90(1.75)
yelp,68.07(0.00),67.74(0.00),67.12(0.00),66.53(0.00),66.36(0.00),67.16(0.00)
spambase,83.36(0.00),82.68(0.00),82.22(0.00),81.83(0.00),81.72(0.00),82.36(0.00)
smtp,92.90(2.48),92.97(2.52),93.25(2.06),93.11(2.28),93.24(2.25),93.10(2.30)
speech,36.36(0.00),36.15(0.00),36.37(0.00),36.40(0.00),36.25(0.00),36.31(0.00)
pima,77.44(2.07),76.14(1.36),76.39(1.21),76.55(1.25),76.38(1.29),76.58(1.39)
internetads,68.08(0.00),65.48(0.00),65.02(0.00),65.04(0.00),65.04(0.00),65.73(0.00)
stamps,96.19(1.24),94.35(1.35),93.67(1.09),93.44(1.21),93.33(1.25),94.20(1.17)
cardiotocography,62.11(0.00),63.39(0.00),65.12(0.00),67.85(0.00),68.91(0.00),65.48(0.00)
imdb,50.08(0.00),50.04(0.00),50.29(0.00),50.23(0.00),50.23(0.00),50.18(0.00)
aloi,51.04(0.00),51.33(0.00),51.63(0.00),51.97(0.00),52.08(0.00),51.61(0.00)
wpbc,64.27(2.37),58.20(1.67),57.03(2.09),55.89(1.96),55.32(1.96),58.14(1.82)
yeast,44.74(0.00),44.64(0.00),44.23(0.00),43.31(0.00),42.85(0.00),43.95(0.00)
fraud,95.59(0.97),95.55(0.99),95.55(0.89),95.54(0.92),95.62(0.88),95.57(0.93)
musk,100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00),100.00(0.00)
fault,58.73(0.00),58.76(0.00),60.12(0.00),61.71(0.00),61.79(0.00),60.22(0.00)
amazon,60.58(0.00),60.52(0.00),60.23(0.00),60.02(0.00),59.91(0.00),60.25(0.00)
campaign,78.48(0.00),78.74(0.00),78.84(0.00),78.65(0.00),78.60(0.00),78.66(0.00)
breastw,99.09(0.24),99.11(0.27),99.16(0.22),99.21(0.18),99.21(0.17),99.16(0.21)
glass,92.13(0.94),88.67(0.98),87.24(1.18),84.93(2.92),83.55(2.61),87.30(1.59)
thyroid,98.68(0.00),98.67(0.00),98.69(0.00),98.70(0.00),98.69(0.00),98.68(0.00)
http,100.00(0.00),99.99(0.02),99.95(0.01),99.95(0.01),99.95(0.01),99.96(0.01)
optdigits,93.72(0.00),92.09(0.00),90.20(0.00),87.66(0.00),86.67(0.00),90.07(0.00)
skin,99.51(0.06),99.17(0.05),98.70(0.12),97.43(0.05),96.90(0.09),98.34(0.04)
backdoor,93.71(0.46),92.58(0.46),91.14(0.46),89.18(0.47),88.39(0.51),91.00(0.47)
letter,35.43(0.00),34.54(0.00),33.17(0.00),32.11(0.00),31.69(0.00),33.39(0.00)
vertebral,57.33(3.80),49.40(1.87),45.06(1.20),41.08(1.52),40.08(1.23),46.59(1.67)
satimage-2,99.71(0.00),99.80(0.00),99.79(0.00),99.78(0.00),99.77(0.00),99.77(0.00)
wdbc,99.23(0.27),99.09(0.29),99.08(0.21),99.08(0.22),99.08(0.17),99.11(0.22)
celeba,72.91(0.29),75.24(0.40),77.50(0.47),79.14(0.38),79.68(0.37),76.90(0.35)
landsat,68.25(0.00),66.48(0.00),64.36(0.00),62.49(0.00),61.93(0.00),64.70(0.00)
vowels,82.21(0.00),80.20(0.00),77.82(0.00),72.26(0.00),69.03(0.00),76.30(0.00)
shuttle,99.91(0.00),99.90(0.00),99.89(0.00),99.89(0.00),99.89(0.00),99.89(0.00)
wine,99.17(0.18),97.96(0.77),98.15(0.47),97.65(0.43),97.68(0.41),98.12(0.40)
annthyroid,92.81(0.00),92.60(0.00),92.34(0.00),91.98(0.00),91.79(0.00),92.30(0.00)
census,72.23(0.29),72.36(0.12),71.94(0.19),71.37(0.21),71.28(0.16),71.84(0.15)
waveform,75.21(0.00),76.04(0.00),76.78(0.00),77.47(0.00),77.60(0.00),76.62(0.00)
cardio,92.00(0.00),92.44(0.00),92.99(0.00),93.85(0.00),94.08(0.00),93.07(0.00)
wbc,98.88(0.50),98.82(0.25),98.86(0.38),99.08(0.34),99.10(0.34),98.95(0.35)
ionosphere,97.32(0.85),97.62(0.81),96.33(0.76),92.80(1.64),91.53(1.65),95.12(0.92)
cover,97.51(0.15),97.19(0.15),96.75(0.22),96.21(0.28),96.00(0.31),96.73(0.22)
pageblocks,89.65(0.00),89.86(0.00),89.88(0.00),89.30(0.00),89.18(0.00),89.57(0.00)
pendigits,99.87(0.00),99.79(0.00),99.21(0.00),98.58(0.00),98.39(0.00),99.17(0.00)
satellite,82.24(0.00),81.56(0.00),80.56(0.00),79.22(0.00),78.76(0.00),80.47(0.00)
magic.gamma,83.27(0.00),82.64(0.00),81.85(0.00),80.76(0.00),80.30(0.00),81.76(0.00)
donors,99.51(0.06),99.24(0.08),98.85(0.10),98.20(0.13),97.90(0.14),98.74(0.09)
lymphography,99.87(0.10),99.85(0.05),99.85(0.05),99.88(0.08),99.88(0.08),99.87(0.06)
mammography,87.58(0.00),87.75(0.00),87.38(0.00),86.97(0.00),86.78(0.00),87.29(0.00)
