dataset,KNN_5,KNN_10,KNN_20,KNN_40,KNN_50,KNN_avr
agnews,0.00576,0.00580,0.00585,0.00591,0.00593,0.00585
20news,0.00122,0.00123,0.00125,0.00127,0.00128,0.00125
SVHN,0.00284,0.00284,0.00284,0.00285,0.00286,0.00284
FashionMNIST,0.00251,0.00250,0.00250,0.00252,0.00253,0.00251
MNIST-C,0.00397,0.00396,0.00396,0.00397,0.00398,0.00397
CIFAR10,0.00212,0.00212,0.00213,0.00213,0.00214,0.00213
MVTec-AD,0.00041,0.00041,0.00042,0.00042,0.00043,0.00042
wilt,0.00010,0.00010,0.00010,0.00011,0.00011,0.00010
mnist,0.00055,0.00055,0.00056,0.00058,0.00058,0.00056
hepatitis,0.00010,0.00010,0.00010,0.00011,0.00011,0.00010
yelp,0.00578,0.00582,0.00589,0.00596,0.00599,0.00589
spambase,0.00020,0.00020,0.00020,0.00021,0.00021,0.00020
smtp,0.00010,0.00010,0.00010,0.00011,0.00011,0.00010
speech,0.00123,0.00125,0.00125,0.00125,0.00125,0.00124
pima,0.00010,0.00010,0.00010,0.00010,0.00010,0.00010
internetads,0.00204,0.00207,0.00207,0.00207,0.00207,0.00206
stamps,0.00010,0.00010,0.00010,0.00010,0.00011,0.00010
cardiotocography,0.00011,0.00011,0.00012,0.00012,0.00012,0.00012
imdb,0.00598,0.00601,0.00606,0.00610,0.00606,0.00604
aloi,0.00080,0.00081,0.00084,0.00087,0.00087,0.00084
wpbc,0.00011,0.00011,0.00011,0.00011,0.00012,0.00011
yeast,0.00010,0.00010,0.00010,0.00011,0.00011,0.00010
fraud,0.00141,0.00153,0.00155,0.00156,0.00143,0.00150
musk,0.00046,0.00047,0.00047,0.00049,0.00049,0.00048
fault,0.00011,0.00011,0.00011,0.00012,0.00012,0.00012
amazon,0.00598,0.00601,0.00604,0.00605,0.00607,0.00603
campaign,0.00168,0.00175,0.00177,0.00178,0.00173,0.00174
breastw,0.00010,0.00010,0.00010,0.00011,0.00011,0.00010
glass,0.00009,0.00010,0.00010,0.00010,0.00011,0.00010
thyroid,0.00010,0.00011,0.00011,0.00012,0.00012,0.00011
http,0.00010,0.00010,0.00011,0.00011,0.00012,0.00011
optdigits,0.00031,0.00031,0.00032,0.00033,0.00033,0.00032
skin,0.00009,0.00010,0.00010,0.00010,0.00011,0.00010
backdoor,0.00815,0.00820,0.00824,0.00826,0.00834,0.00824
letter,0.00012,0.00012,0.00012,0.00013,0.00013,0.00013
vertebral,0.00009,0.00009,0.00010,0.00010,0.00010,0.00010
satimage-2,0.00019,0.00019,0.00021,0.00022,0.00023,0.00021
wdbc,0.00011,0.00012,0.00011,0.00012,0.00012,0.00011
celeba,0.00156,0.00162,0.00166,0.00168,0.00161,0.00162
landsat,0.00016,0.00017,0.00018,0.00019,0.00020,0.00018
vowels,0.00010,0.00010,0.00011,0.00011,0.00012,0.00011
shuttle,0.00019,0.00022,0.00025,0.00030,0.00031,0.00025
wine,0.00010,0.00010,0.00011,0.00012,0.00011,0.00011
annthyroid,0.00010,0.00011,0.00012,0.00013,0.00013,0.00012
census,0.01810,0.01808,0.01807,0.01814,0.01815,0.01811
waveform,0.00013,0.00014,0.00014,0.00015,0.00015,0.00014
cardio,0.00011,0.00011,0.00011,0.00012,0.00013,0.00012
wbc,0.00010,0.00010,0.00010,0.00010,0.00011,0.00010
ionosphere,0.00010,0.00010,0.00010,0.00011,0.00011,0.00010
cover,0.00015,0.00017,0.00019,0.00023,0.00024,0.00020
pageblocks,0.00010,0.00011,0.00011,0.00012,0.00013,0.00012
pendigits,0.00015,0.00016,0.00017,0.00018,0.00019,0.00017
satellite,0.00015,0.00016,0.00017,0.00019,0.00019,0.00017
magic.gamma,0.00013,0.00014,0.00015,0.00017,0.00017,0.00015
donors,0.00016,0.00016,0.00017,0.00018,0.00019,0.00017
lymphography,0.00011,0.00011,0.00011,0.00011,0.00011,0.00011
mammography,0.00010,0.00011,0.00011,0.00012,0.00012,0.00011
