dataset,KNN_5,KNN_10,KNN_20,KNN_40,KNN_50,KNN_avr
agnews,1.54855,1.53955,1.58799,1.63016,1.63812,1.58887
20news,0.09561,0.09637,0.10027,0.10656,0.10617,0.10099
SVHN,0.62082,0.62608,0.62759,0.65042,0.67151,0.63928
FashionMNIST,0.46019,0.46437,0.47541,0.49400,0.49901,0.47860
MNIST-C,1.07853,1.09152,1.09994,1.14530,1.17271,1.11760
CIFAR10,0.33069,0.33848,0.34418,0.36145,0.36707,0.34837
MVTec-AD,0.01465,0.01503,0.01572,0.01717,0.01804,0.01612
wilt,0.01631,0.02035,0.02699,0.03900,0.04479,0.02949
mnist,0.14775,0.15632,0.16542,0.19113,0.21452,0.17503
hepatitis,0.00327,0.00363,0.00472,0.00636,0.00718,0.00503
yelp,1.56970,1.59099,1.60083,1.56665,1.61821,1.58928
spambase,0.01945,0.02051,0.02455,0.03046,0.03431,0.02586
smtp,0.14055,0.18201,0.25036,0.37828,0.45388,0.28102
speech,0.13776,0.13925,0.14409,0.15796,0.15513,0.14684
pima,0.02173,0.00370,0.00438,0.00526,0.00566,0.00815
internetads,0.12291,0.12950,0.12806,0.13120,0.13395,0.12912
stamps,0.00438,0.00509,0.00604,0.00746,0.00811,0.00622
cardiotocography,0.00756,0.00859,0.01108,0.01514,0.01759,0.01199
imdb,1.45961,1.55990,1.60576,1.57580,1.59625,1.55947
aloi,3.56348,3.54972,3.77990,3.99988,4.20373,3.81934
wpbc,0.00385,0.00404,0.00485,0.00657,0.00746,0.00535
yeast,0.00571,0.00634,0.00746,0.00949,0.01028,0.00786
fraud,3.95185,3.85496,4.03557,4.12714,4.19369,4.03264
musk,0.04617,0.04885,0.05363,0.06409,0.06527,0.05560
fault,0.11684,0.00720,0.00921,0.01254,0.01362,0.03188
amazon,1.53004,1.54846,1.50834,1.54206,1.54791,1.53536
campaign,2.84810,2.95802,2.99573,3.20722,3.32436,3.06668
breastw,0.00380,0.00393,0.00451,0.00565,0.00614,0.00480
glass,0.00376,0.00455,0.00541,0.00709,0.00792,0.00575
thyroid,0.02101,0.02591,0.03313,0.04468,0.05095,0.03514
http,0.21343,0.24692,0.30741,0.42341,0.48900,0.33603
optdigits,0.06755,0.07355,0.08045,0.09608,0.10128,0.08378
skin,0.07568,0.09387,0.13008,0.20077,0.23495,0.14707
backdoor,10.05796,10.51210,10.37414,10.51807,10.45162,10.38278
letter,0.00716,0.00819,0.01009,0.01425,0.01610,0.01116
vertebral,0.00343,0.00393,0.00471,0.00614,0.00674,0.00499
satimage-2,0.06286,0.06519,0.07700,0.09958,0.10536,0.08200
wdbc,0.00404,0.00565,0.00628,0.00844,0.00933,0.00675
celeba,4.05509,4.11782,4.16701,4.59716,4.67525,4.32247
landsat,0.05098,0.06032,0.06512,0.08262,0.09008,0.06982
vowels,0.00852,0.00990,0.01160,0.01442,0.01577,0.01204
shuttle,1.71130,2.24569,2.81588,3.53360,3.79082,2.81946
wine,0.00525,0.00633,0.00763,0.00897,0.00981,0.00760
annthyroid,0.04905,0.05996,0.07753,0.10562,0.11822,0.08208
census,21.20093,20.12938,20.68381,21.73666,20.47564,20.84528
waveform,0.02110,0.02506,0.03015,0.03951,0.04425,0.03202
cardio,0.00723,0.00882,0.01101,0.01573,0.01774,0.01211
wbc,0.00539,0.00579,0.00677,0.00860,0.00938,0.00718
ionosphere,0.00316,0.00321,0.00413,0.00544,0.00598,0.00439
cover,1.13067,1.50562,2.00205,2.70745,2.97845,2.06485
pageblocks,0.03958,0.04798,0.05930,0.07725,0.08524,0.06187
pendigits,0.07247,0.07476,0.08622,0.10800,0.12247,0.09278
satellite,0.04098,0.04403,0.05168,0.07230,0.07734,0.05727
magic.gamma,0.18999,0.22719,0.27733,0.35133,0.37839,0.28484
donors,1.23602,1.30282,1.37148,1.57872,1.67967,1.43374
lymphography,0.00376,0.00441,0.00544,0.00744,0.00856,0.00592
mammography,0.07770,0.08610,0.10081,0.12766,0.14087,0.10663
