,mean_abs_shap,type
host_tenure_days,0.0352,numeric
name,0.0352,text
estimated_occupancy_l365d,0.0276,numeric
calculated_host_listings_count,0.0265,numeric
host_is_superhost,0.0216,numeric
calculated_host_listings_count_entire_homes,0.018,numeric
description,0.017,text
minimum_nights,0.0163,numeric
instant_bookable,0.0162,numeric
accommodates,0.0147,numeric
host_response_time_within_an_hour,0.0102,numeric
longitude,0.0082,numeric
host_about,0.0082,text
availability_365,0.0079,numeric
number_of_reviews_ly,0.0072,numeric
amenities_count,0.0067,numeric
host_identity_verified,0.0061,numeric
maximum_nights,0.0058,numeric
availability_60,0.005,numeric
availability_30,0.0047,numeric
